Sale_ID,Sale_Date,Employee_ID,Customer_ID,Product_ID,Quantity,Unit_Price,Gross_Sales,Region_Code
S500067,6/27/2026 0:00,E1091,C2344,P3042,8,20791.75,158960.91,R01
S500068,3/16/2026 0:00,E1002,C2149,P3042,4,20791.75,82671.81,R06
S500069,5/23/2026 0:00,E1008,C2071,P3052,1,64744.08,58381.28,R06
S500070,2/1/2026 0:00,E1059,C2121,P3031,10,61484.37,623759.51,R01
S500071,1/28/2026 0:00,E1097,C2253,P3011,4,53782.26,217497.17,R04
S500072,1/22/2026 0:00,E1013,C2093,P3054,3,7404.66,22759.31,R05
S500073,8/21/2026 0:00,E1108,C2256,P3016,6,51163.56,315029.67,R05
S500074,1/17/2026 0:00,E1006,C2254,P3009,11,23520.25,254831.55,R02
S500075,2/28/2026 0:00,E1110,C2352,P3047,5,46883.48,238405.1,R01
S500076,3/31/2026 0:00,E1052,C2288,P3014,5,9360.99,45581.43,R05
S500077,8/24/2026 0:00,E1044,C2309,P3019,2,53251.21,111053.21,R06
S500078,7/18/2026 0:00,E1104,C2059,P3031,3,61484.37,171284.04,R04
S500079,4/16/2026 0:00,E1013,C2069,P3009,11,23520.25,268384.12,R05
S500080,7/4/2026 0:00,E1105,C2446,P3036,6,30974.38,174468.69,R06
S500081,1/26/2026 0:00,E1019,C2388,P3053,2,16451.3,30119.32,R03
S500082,1/25/2026 0:00,E1068,C2086,P3039,4,26668.25,103031.79,R05
S500083,5/18/2026 0:00,E1076,C2274,P3054,2,7404.66,14694.36,R05
S500084,2/14/2026 0:00,E1081,C2227,P3026,9,41379.43,348076.99,R06
S500085,3/24/2026 0:00,E1096,C2081,P3008,3,40552.31,119633.71,R03
S500086,1/11/2026 0:00,E1110,C2114,P3024,10,36395.04,371660.33,R01
S500087,7/24/2026 0:00,E1018,C2184,P3008,10,40552.31,380608.87,R04
S500088,6/30/2026 0:00,E1070,C2280,P3019,6,53251.21,315369.11,R06
S500089,7/19/2026 0:00,E1073,C2322,P3047,1,46883.48,44581.36,R01
S500090,4/14/2026 0:00,E1064,C2397,P3048,11,34019.63,366531.51,R02
S500091,3/9/2026 0:00,E1043,C2318,P3030,10,45220.48,452221.92,R01
S500092,8/27/2026 0:00,E1097,C2054,P3058,3,41115.63,117495.73,R04
S500093,4/5/2026 0:00,E1117,C2399,P3022,8,19428.07,163067.16,R05
S500094,6/5/2026 0:00,E1105,C2197,P3055,5,2016.98,9929.25,R06
S500095,7/22/2026 0:00,E1035,C2387,P3009,8,23520.25,192615.65,R06
S500096,8/23/2026 0:00,E1072,C2293,P3058,2,41115.63,82952.45,R02
S500097,3/6/2026 0:00,E1116,C2293,P3058,7,41115.63,295845.28,R06
S500098,2/18/2026 0:00,E1104,C2387,P3044,9,31924.43,266078.35,R04
S500099,6/24/2026 0:00,E1047,C2447,P3048,7,34019.63,222273.42,R02
S500100,2/21/2026 0:00,E1060,C2291,P3004,3,19444.05,56763.7,R02
S500101,4/12/2026 0:00,E1053,C2180,P3037,7,63029.63,453494.73,R06
S500102,8/4/2026 0:00,E1035,C2380,P3008,8,40552.31,301592.72,R06
S500103,7/1/2026 0:00,E1046,C2412,P3001,1,26533.8,27745.33,R04
S500104,7/7/2026 0:00,E1016,C2222,P3028,3,47578.07,131192.77,R02
S500105,2/26/2026 0:00,E1080,C2274,P3006,5,23219.92,107538.61,R01
S500106,2/16/2026 0:00,E1072,C2378,P3047,6,46883.48,260227.24,R02
S500107,6/8/2026 0:00,E1052,C2244,P3036,3,30974.38,91798.85,R05
S500108,8/21/2026 0:00,E1103,C2420,P3053,4,16451.3,68281.53,R02
S500109,6/23/2026 0:00,E1116,C2417,P3011,5,53782.26,252310.52,R06
S500110,8/30/2026 0:00,E1033,C2448,P3005,3,21544.25,63531.12,R01
S500111,1/26/2026 0:00,E1069,C2154,P3050,4,12809.06,47463.5,R01
S500112,8/29/2026 0:00,E1004,C2304,P3024,5,36395.04,181005.37,R04
S500113,4/24/2026 0:00,E1088,C2424,P3047,2,46883.48,86123.73,R04
S500114,1/5/2026 0:00,E1088,C2273,P3018,10,39505.96,384668.2,R04
S500115,3/25/2026 0:00,E1076,C2424,P3020,9,8239.05,74023.71,R05
S500116,2/21/2026 0:00,E1053,C2135,P3028,10,47578.07,469533.31,R06
S500117,4/15/2026 0:00,E1069,C2313,P3013,8,31162.8,229607.53,R01
S500118,7/22/2026 0:00,E1078,C2008,P3005,6,21544.25,119467.95,R01
S500119,9/5/2026 0:00,E1095,C2128,P3030,10,45220.48,452525.26,R05
S500120,2/23/2026 0:00,E1050,C2373,P3001,11,26533.8,298099.29,R02
S500121,6/10/2026 0:00,E1018,C2056,P3022,3,19428.07,60394.75,R04
S500122,6/27/2026 0:00,E1008,C2126,P3018,11,39505.96,444144.14,R06
S500123,6/15/2026 0:00,E1014,C2159,P3046,2,7391.26,15463.83,R02
S500124,6/4/2026 0:00,E1068,C2059,P3005,7,21544.25,144964.03,R05
S500125,8/14/2026 0:00,E1005,C2058,P3031,8,61484.37,467121.29,R02
S500126,1/15/2026 0:00,E1011,C2140,P3006,10,23219.92,209960.93,R01
S500127,8/12/2026 0:00,E1105,C2176,P3027,1,3495.09,3381.44,R06
S500128,3/2/2026 0:00,E1090,C2415,P3056,6,48237.37,288760.2,R03
S500129,5/2/2026 0:00,E1018,C2108,P3025,7,60497.94,432934.09,R04
S500130,1/21/2026 0:00,E1054,C2211,P3029,9,71367.4,603844.19,R06
S500131,2/15/2026 0:00,E1007,C2447,P3028,3,47578.07,139456.85,R01
S500132,7/16/2026 0:00,E1085,C2074,P3016,2,51163.56,102255.64,R02
S500133,5/14/2026 0:00,E1071,C2167,P3054,5,7404.66,36384.29,R05
S500134,2/7/2026 0:00,E1098,C2404,P3053,10,16451.3,154823.7,R03
S500135,3/3/2026 0:00,E1076,C2357,P3012,1,20628.64,21029.71,R05
S500136,3/27/2026 0:00,E1010,C2304,P3020,6,8239.05,45776.37,R05
S500137,7/9/2026 0:00,E1093,C2233,P3018,9,39505.96,368263.61,R05
S500138,7/29/2026 0:00,E1079,C2327,P3034,10,16100.35,167908.86,R02
S500139,3/19/2026 0:00,E1085,C2372,P3055,9,2016.98,17332.97,R02
S500140,7/21/2026 0:00,E1022,C2182,P3053,7,16451.3,110141.3,R01
S500141,2/15/2026 0:00,E1025,C2122,P3023,11,72228.78,803646.96,R03
S500142,5/21/2026 0:00,E1104,C2334,P3045,7,50149.35,339967.61,R04
S500143,8/11/2026 0:00,E1005,C2203,P3027,8,3495.09,25284.64,R02
S500144,8/10/2026 0:00,E1025,C2029,P3049,10,44098.98,457739.26,R03
S500145,1/3/2026 0:00,E1061,C2202,P3017,2,13812.52,26647.46,R03
S500146,8/10/2026 0:00,E1101,C2093,P3048,6,34019.63,189936.55,R01
S500147,1/6/2026 0:00,E1004,C2329,P3021,5,42656.59,209731.71,R04
S500148,4/3/2026 0:00,E1070,C2356,P3050,5,12809.06,59743.76,R06
S500149,1/8/2026 0:00,E1103,C2176,P3040,3,17956.07,50146.09,R02
S500150,6/21/2026 0:00,E1042,C2330,P3031,3,61484.37,181107.08,R03
S500151,8/25/2026 0:00,E1050,C2211,P3003,6,36568.91,210342.11,R02
S500152,8/23/2026 0:00,E1056,C2184,P3017,10,13812.52,136184.4,R06
S500153,4/18/2026 0:00,E1036,C2095,P3050,10,12809.06,134434.14,R05
S500154,6/10/2026 0:00,E1097,C2273,P3058,7,41115.63,296113.5,R04
S500155,7/28/2026 0:00,E1058,C2137,P3026,1,41379.43,37289.1,R02
S500156,8/28/2026 0:00,E1110,C2237,P3023,3,72228.78,196660.92,R01
S500157,3/16/2026 0:00,E1091,C2353,P3006,1,23219.92,23022.83,R01
S500158,3/18/2026 0:00,E1042,C2418,P3028,10,47578.07,472896.71,R03
S500159,2/19/2026 0:00,E1079,C2429,P3008,3,40552.31,125516.94,R02
S500160,1/11/2026 0:00,E1070,C2265,P3055,5,2016.98,10028.01,R06
S500161,4/5/2026 0:00,E1048,C2135,P3058,9,41115.63,345676.15,R04
S500162,6/5/2026 0:00,E1080,C2144,P3045,3,50149.35,145976.35,R01
S500163,8/24/2026 0:00,E1014,C2019,P3008,10,40552.31,414180.13,R02
S500164,3/11/2026 0:00,E1028,C2231,P3019,10,53251.21,552973.21,R04
S500165,6/18/2026 0:00,E1007,C2134,P3038,9,67526.73,568563.95,R01
S500166,1/16/2026 0:00,E1018,C2114,P3029,1,71367.4,70007.19,R04
S500167,3/9/2026 0:00,E1037,C2139,P3023,6,72228.78,400366.64,R02
S500168,4/9/2026 0:00,E1106,C2125,P3047,9,46883.48,411212.64,R02
S500169,2/17/2026 0:00,E1115,C2204,P3032,5,66344.43,303033.86,R04
S500170,7/3/2026 0:00,E1101,C2061,P3010,11,45872.45,525416.22,R01
S500171,3/5/2026 0:00,E1083,C2250,P3027,10,3495.09,34800.91,R02
S500172,7/6/2026 0:00,E1107,C2298,P3049,2,44098.98,90679.19,R03
S500173,3/31/2026 0:00,E1003,C2013,P3001,5,26533.8,139268.52,R05
S500174,7/9/2026 0:00,E1079,C2396,P3039,1,26668.25,24732.13,R02
S500175,3/17/2026 0:00,E1054,C2255,P3029,9,71367.4,644953.87,R06
S500176,5/19/2026 0:00,E1068,C2085,P3059,10,17588.05,181692.99,R05
S500177,4/11/2026 0:00,E1054,C2020,P3045,10,50149.35,494668.54,R06
S500178,3/30/2026 0:00,E1094,C2050,P3003,9,36568.91,327788.72,R04
S500179,1/18/2026 0:00,E1045,C2164,P3051,6,55331.31,319090.35,R02
S500180,1/19/2026 0:00,E1092,C2092,P3047,11,46883.48,516344.43,R05
S500181,8/3/2026 0:00,E1023,C2088,P3037,9,63029.63,544199.73,R02
S500182,2/24/2026 0:00,E1113,C2069,P3031,3,61484.37,179194.9,R06
S500183,4/12/2026 0:00,E1109,C2037,P3011,4,53782.26,196937.03,R02
S500184,4/28/2026 0:00,E1057,C2253,P3022,6,19428.07,105048.11,R01
S500185,7/29/2026 0:00,E1069,C2252,P3018,4,39505.96,143528.73,R01
S500186,6/3/2026 0:00,E1101,C2140,P3035,1,45920.83,42654.86,R01
S500187,5/14/2026 0:00,E1062,C2355,P3006,7,23219.92,157417.92,R02
S500188,1/4/2026 0:00,E1060,C2381,P3003,5,36568.91,165135.89,R02
S500189,4/18/2026 0:00,E1013,C2168,P3005,8,21544.25,159150.05,R05
S500190,4/25/2026 0:00,E1090,C2054,P3009,9,23520.25,215326.72,R03
S500191,1/29/2026 0:00,E1071,C2386,P3028,5,47578.07,241298.13,R05
S500192,2/28/2026 0:00,E1086,C2178,P3019,8,53251.21,433873.62,R02
S500193,5/5/2026 0:00,E1105,C2297,P3028,1,47578.07,49397.03,R06
S500194,4/8/2026 0:00,E1041,C2301,P3027,1,3495.09,3208.01,R01
S500195,1/17/2026 0:00,E1014,C2359,P3013,7,31162.8,201663.73,R02
S500196,4/17/2026 0:00,E1043,C2106,P3038,6,67526.73,384915.75,R01
S500197,2/12/2026 0:00,E1059,C2137,P3043,5,61740.42,320207.79,R01
S500198,9/2/2026 0:00,E1055,C2190,P3053,5,16451.3,83599.06,R04
S500199,3/21/2026 0:00,E1111,C2128,P3021,9,42656.59,364183.36,R02
S500200,7/13/2026 0:00,E1013,C2342,P3027,1,3495.09,3191.53,R05
S500201,6/11/2026 0:00,E1014,C2047,P3046,8,7391.26,58684.06,R02
S500202,9/4/2026 0:00,E1076,C2005,P3006,2,23219.92,43584.85,R05
S500203,1/8/2026 0:00,E1099,C2257,P3038,7,67526.73,463078.74,R01
S500204,5/21/2026 0:00,E1059,C2300,P3049,6,44098.98,275513.8,R01
S500205,4/16/2026 0:00,E1042,C2150,P3011,10,53782.26,530235.31,R03
S500206,1/8/2026 0:00,E1120,C2294,P3047,2,46883.48,97384.04,R04
S500207,8/10/2026 0:00,E1082,C2243,P3041,3,58594.28,168567.98,R04
S500208,4/6/2026 0:00,E1047,C2275,P3053,4,16451.3,65476.35,R02
S500209,8/16/2026 0:00,E1036,C2208,P3017,7,13812.52,99983.09,R05
S500210,8/27/2026 0:00,E1004,C2415,P3056,8,48237.37,381344.62,R04
S500211,4/4/2026 0:00,E1006,C2115,P3039,11,26668.25,291072.82,R02
S500212,3/6/2026 0:00,E1092,C2195,P3007,2,60276.19,121450.04,R05
S500213,6/20/2026 0:00,E1012,C2343,P3030,8,45220.48,373454.66,R06
S500214,2/8/2026 0:00,E1073,C2170,P3021,11,42656.59,428506.65,R01
S500215,3/22/2026 0:00,E1119,C2379,P3001,9,26533.8,226990.3,R06
S500216,7/6/2026 0:00,E1058,C2082,P3025,7,60497.94,406399.08,R02
S500217,3/25/2026 0:00,E1011,C2154,P3032,1,66344.43,68763.11,R01
S500218,3/29/2026 0:00,E1108,C2141,P3059,6,17588.05,110108.35,R05
S500219,8/30/2026 0:00,E1118,C2314,P3057,8,45630.28,335129.61,R02
S500220,3/27/2026 0:00,E1035,C2146,P3008,5,40552.31,186107.96,R06
S500221,4/3/2026 0:00,E1069,C2323,P3005,2,21544.25,44821.92,R01
S500222,3/27/2026 0:00,E1074,C2122,P3030,5,45220.48,213523.37,R05
S500223,2/13/2026 0:00,E1032,C2252,P3051,8,55331.31,414441.32,R02
S500224,5/17/2026 0:00,E1077,C2343,P3008,2,40552.31,73427.53,R05
S500225,6/14/2026 0:00,E1111,C2387,P3049,1,44098.98,41512.11,R02
S500226,3/15/2026 0:00,E1073,C2311,P3019,4,53251.21,213863.03,R01
S500227,2/5/2026 0:00,E1111,C2089,P3044,4,31924.43,123088.52,R02
S500228,4/11/2026 0:00,E1068,C2058,P3059,9,17588.05,154735.71,R05
S500229,8/8/2026 0:00,E1072,C2063,P3055,3,2016.98,6278.42,R02
S500230,6/5/2026 0:00,E1043,C2347,P3030,4,45220.48,165905.52,R01
S500231,6/19/2026 0:00,E1065,C2308,P3015,3,13790.91,37677.57,R02
S500232,6/20/2026 0:00,E1033,C2382,P3036,2,30974.38,63670.29,R01
S500233,8/1/2026 0:00,E1021,C2280,P3055,4,2016.98,8198.85,R04
S500234,8/4/2026 0:00,E1059,C2072,P3044,8,31924.43,239959.37,R01
S500235,6/19/2026 0:00,E1100,C2009,P3027,1,3495.09,3315.57,R01
S500236,4/14/2026 0:00,E1052,C2366,P3013,8,31162.8,235975.11,R05
S500237,3/7/2026 0:00,E1082,C2421,P3014,8,9360.99,74676.09,R04
S500238,2/24/2026 0:00,E1026,C2094,P3037,3,63029.63,171916.16,R05
S500239,7/19/2026 0:00,E1013,C2373,P3054,10,7404.66,72077.72,R05
S500240,6/25/2026 0:00,E1073,C2339,P3048,10,34019.63,313008.13,R01
S500241,4/1/2026 0:00,E1041,C2437,P3030,6,45220.48,277552.67,R01
S500242,1/22/2026 0:00,E1018,C2336,P3039,4,26668.25,102096.67,R04
S500243,4/11/2026 0:00,E1047,C2152,P3047,1,46883.48,45905.3,R02
S500244,6/4/2026 0:00,E1012,C2405,P3013,1,31162.8,28183.56,R06
S500245,5/1/2026 0:00,E1072,C2356,P3058,5,41115.63,186817.02,R02
S500246,4/3/2026 0:00,E1024,C2040,P3016,8,51163.56,409823.48,R02
S500247,7/14/2026 0:00,E1093,C2359,P3044,1,31924.43,32403.79,R05
S500248,4/18/2026 0:00,E1112,C2062,P3007,2,60276.19,121336.61,R02
S500249,5/21/2026 0:00,E1072,C2254,P3048,7,34019.63,240650.43,R02
S500250,6/22/2026 0:00,E1039,C2069,P3055,8,2016.98,14775.48,R04
S500251,1/10/2026 0:00,E1003,C2398,P3055,3,2016.98,6075.25,R05
S500252,8/16/2026 0:00,E1088,C2245,P3027,11,3495.09,35649.51,R04
S500253,1/9/2026 0:00,E1086,C2365,P3045,8,50149.35,366973.81,R02
S500254,7/1/2026 0:00,E1091,C2170,P3055,1,2016.98,2044.36,R01
S500255,9/5/2026 0:00,E1081,C2178,P3035,9,45920.83,427095.78,R06
S500256,9/4/2026 0:00,E1115,C2189,P3015,2,13790.91,27788.86,R04
S500257,6/4/2026 0:00,E1095,C2260,P3028,2,47578.07,97138.82,R05
S500258,2/3/2026 0:00,E1074,C2072,P3035,4,45920.83,192621.94,R05
S500259,8/31/2026 0:00,E1038,C2017,P3007,10,60276.19,554669.57,R01
S500260,5/9/2026 0:00,E1051,C2370,P3050,3,12809.06,40147.68,R06
S500261,6/9/2026 0:00,E1054,C2341,P3046,4,7391.26,29274.7,R06
S500262,3/30/2026 0:00,E1034,C2057,P3050,6,12809.06,78544.23,R06
S500263,4/3/2026 0:00,E1023,C2218,P3051,7,55331.31,386360.7,R02
S500264,3/12/2026 0:00,E1116,C2107,P3046,5,7391.26,36420.64,R06
S500265,8/29/2026 0:00,E1113,C2304,P3020,2,8239.05,16569.44,R06
S500266,3/8/2026 0:00,E1006,C2428,P3032,3,66344.43,188691.28,R02
S500267,7/31/2026 0:00,E1105,C2173,P3038,10,67526.73,701360.12,R06
S500268,5/28/2026 0:00,E1019,C2219,P3040,11,17956.07,181180.93,R03
S500269,4/27/2026 0:00,E1039,C2247,P3032,3,66344.43,188624.78,R04
S500270,4/4/2026 0:00,E1120,C2218,P3026,5,41379.43,187174.55,R04
S500271,6/12/2026 0:00,E1119,C2373,P3058,11,41115.63,425451.51,R06
S500272,4/9/2026 0:00,E1038,C2417,P3039,5,26668.25,124371.65,R01
S500273,4/23/2026 0:00,E1096,C2031,P3020,4,8239.05,29905.93,R03
S500274,4/13/2026 0:00,E1117,C2368,P3018,8,39505.96,307756.52,R05
S500275,4/1/2026 0:00,E1097,C2047,P3050,6,12809.06,74571.43,R04
S500276,3/31/2026 0:00,E1066,C2134,P3015,6,13790.91,75435.88,R04
S500277,7/25/2026 0:00,E1011,C2108,P3052,1,64744.08,60812.66,R01
S500278,1/17/2026 0:00,E1081,C2072,P3022,6,19428.07,121580.67,R06
S500279,1/18/2026 0:00,E1044,C2327,P3051,3,55331.31,152151.78,R06
S500280,6/22/2026 0:00,E1050,C2418,P3022,6,19428.07,110244.91,R02
S500281,4/26/2026 0:00,E1046,C2108,P3053,10,16451.3,148946.67,R04
S500282,4/3/2026 0:00,E1084,C2309,P3021,11,42656.59,432779.42,R01
S500283,7/31/2026 0:00,E1089,C2398,P3002,6,7831.21,47217.95,R06
S500284,6/30/2026 0:00,E1099,C2272,P3040,2,17956.07,34296.36,R01
S500285,4/1/2026 0:00,E1017,C2171,P3053,1,16451.3,15921.76,R02
S500286,3/23/2026 0:00,E1056,C2116,P3043,11,61740.42,627221.81,R06
S500287,3/9/2026 0:00,E1104,C2329,P3018,3,39505.96,118792.96,R04
S500288,7/12/2026 0:00,E1036,C2074,P3023,5,72228.78,365740.63,R05
S500289,4/24/2026 0:00,E1100,C2256,P3013,4,31162.8,115572.46,R01
S500290,1/1/2026 0:00,E1029,C2081,P3041,7,58594.28,371912.14,R04
S500291,2/27/2026 0:00,E1003,C2268,P3009,4,23520.25,85815.15,R05
S500292,6/3/2026 0:00,E1096,C2128,P3049,8,44098.98,352282.71,R03
S500293,4/19/2026 0:00,E1014,C2326,P3007,7,60276.19,388316.46,R02
S500294,5/28/2026 0:00,E1043,C2403,P3041,10,58594.28,570759.75,R01
S500295,4/26/2026 0:00,E1082,C2235,P3054,9,7404.66,61503.6,R04
S500296,3/28/2026 0:00,E1061,C2041,P3001,1,26533.8,24557.62,R03
S500297,1/10/2026 0:00,E1071,C2181,P3002,5,7831.21,35266.06,R05
S500298,2/28/2026 0:00,E1094,C2157,P3004,4,19444.05,73741.45,R04
S500299,7/22/2026 0:00,E1055,C2059,P3014,6,9360.99,51305.88,R04
S500300,2/10/2026 0:00,E1105,C2345,P3032,1,66344.43,63630.56,R06
S500301,4/15/2026 0:00,E1047,C2249,P3036,6,30974.38,183926.05,R02
S500302,5/13/2026 0:00,E1021,C2192,P3002,1,7831.21,7479.82,R04
S500303,5/2/2026 0:00,E1025,C2024,P3040,1,17956.07,18059.54,R03
S500304,7/12/2026 0:00,E1063,C2400,P3050,8,12809.06,103621.99,R05
S500305,5/25/2026 0:00,E1093,C2436,P3051,2,55331.31,111159.6,R05
S500306,1/22/2026 0:00,E1096,C2080,P3014,10,9360.99,97401.76,R03
S500307,4/8/2026 0:00,E1060,C2134,P3020,6,8239.05,46250.44,R02
S500308,9/5/2026 0:00,E1111,C2421,P3025,6,60497.94,337004.43,R02
S500309,8/25/2026 0:00,E1028,C2213,P3042,6,20791.75,123684.72,R04
S500310,6/18/2026 0:00,E1027,C2388,P3049,8,44098.98,348992.82,R02
S500311,8/9/2026 0:00,E1008,C2348,P3008,4,40552.31,158399.72,R06
S500312,3/9/2026 0:00,E1044,C2166,P3028,3,47578.07,128553.99,R06
S500313,7/16/2026 0:00,E1049,C2425,P3046,6,7391.26,43606.32,R04
S500314,5/19/2026 0:00,E1055,C2348,P3021,4,42656.59,177437.71,R04
S500315,2/25/2026 0:00,E1061,C2337,P3023,2,72228.78,137261.65,R03
S500316,6/28/2026 0:00,E1039,C2398,P3032,6,66344.43,416035.26,R04
S500317,5/29/2026 0:00,E1071,C2071,P3008,10,40552.31,386671.75,R05
S500318,4/9/2026 0:00,E1089,C2214,P3031,5,61484.37,283128.81,R06
S500319,3/17/2026 0:00,E1094,C2435,P3037,11,63029.63,665426.85,R04
S500320,1/26/2026 0:00,E1100,C2065,P3016,9,51163.56,448588.04,R01
S500321,4/25/2026 0:00,E1055,C2221,P3040,11,17956.07,196414.56,R04
S500322,5/27/2026 0:00,E1016,C2308,P3042,6,20791.75,121723.02,R02
S500323,4/19/2026 0:00,E1098,C2286,P3027,3,3495.09,10280.89,R03
S500324,7/7/2026 0:00,E1027,C2185,P3040,11,17956.07,178478.14,R02
S500325,7/18/2026 0:00,E1050,C2207,P3041,5,58594.28,274819.78,R02
S500326,2/16/2026 0:00,E1097,C2099,P3018,10,39505.96,373965.19,R04
S500327,9/4/2026 0:00,E1020,C2242,P3035,8,45920.83,385023.49,R02
S500328,3/12/2026 0:00,E1010,C2158,P3049,9,44098.98,374797.96,R05
S500329,6/3/2026 0:00,E1066,C2098,P3052,8,64744.08,535815.18,R04
S500330,2/9/2026 0:00,E1095,C2042,P3015,3,13790.91,39126.62,R05
