Order_ID,Order_Date,Employee_ID,Customer_ID,Product_ID,Quantity,Region_Code,Order_Value
S500089,2026-07-19 00:00:00,E1073,C2322,P3047,1,R01,44581.36
S500090,2026-04-14 00:00:00,E1064,C2397,P3048,11,R02,366531.51
S500091,2026-03-09 00:00:00,E1043,C2318,P3030,10,R01,452221.92
S500092,2026-08-27 00:00:00,E1097,C2054,P3058,3,R04,117495.73
S500093,2026-04-05 00:00:00,E1117,C2399,P3022,8,R05,163067.16
S500094,2026-06-05 00:00:00,E1105,C2197,P3055,5,R06,9929.25
S500095,2026-07-22 00:00:00,E1035,C2387,P3009,8,R06,192615.65
S500096,2026-08-23 00:00:00,E1072,C2293,P3058,2,R02,82952.45
S500097,2026-03-06 00:00:00,E1116,C2293,P3058,7,R06,295845.28
S500098,2026-02-18 00:00:00,E1104,C2387,P3044,9,R04,266078.35
S500099,2026-06-24 00:00:00,E1047,C2447,P3048,7,R02,222273.42
S500100,2026-02-21 00:00:00,E1060,C2291,P3004,3,R02,56763.7
S500101,2026-04-12 00:00:00,E1053,C2180,P3037,7,R06,453494.73
S500102,2026-08-04 00:00:00,E1035,C2380,P3008,8,R06,301592.72
S500103,2026-07-01 00:00:00,E1046,C2412,P3001,1,R04,27745.33
S500104,2026-07-07 00:00:00,E1016,C2222,P3028,3,R02,131192.77
S500105,2026-02-26 00:00:00,E1080,C2274,P3006,5,R01,107538.61
S500106,2026-02-16 00:00:00,E1072,C2378,P3047,6,R02,260227.24
S500107,2026-06-08 00:00:00,E1052,C2244,P3036,3,R05,91798.85
S500108,2026-08-21 00:00:00,E1103,C2420,P3053,4,R02,68281.53
S500109,2026-06-23 00:00:00,E1116,C2417,P3011,5,R06,252310.52
S500110,2026-08-30 00:00:00,E1033,C2448,P3005,3,R01,63531.12
S500111,2026-01-26 00:00:00,E1069,C2154,P3050,4,R01,47463.5
S500112,2026-08-29 00:00:00,E1004,C2304,P3024,5,R04,181005.37
S500113,2026-04-24 00:00:00,E1088,C2424,P3047,2,R04,86123.73
S500114,2026-01-05 00:00:00,E1088,C2273,P3018,10,R04,384668.2
S500115,2026-03-25 00:00:00,E1076,C2424,P3020,9,R05,74023.71
S500116,2026-02-21 00:00:00,E1053,C2135,P3028,10,R06,469533.31
S500117,2026-04-15 00:00:00,E1069,C2313,P3013,8,R01,229607.53
S500118,2026-07-22 00:00:00,E1078,C2008,P3005,6,R01,119467.95
S500119,2026-09-05 00:00:00,E1095,C2128,P3030,10,R05,452525.26
S500120,2026-02-23 00:00:00,E1050,C2373,P3001,11,R02,298099.29
S500121,2026-06-10 00:00:00,E1018,C2056,P3022,3,R04,60394.75
S500122,2026-06-27 00:00:00,E1008,C2126,P3018,11,R06,444144.14
S500123,2026-06-15 00:00:00,E1014,C2159,P3046,2,R02,15463.83
S500124,2026-06-04 00:00:00,E1068,C2059,P3005,7,R05,144964.03
S500125,2026-08-14 00:00:00,E1005,C2058,P3031,8,R02,467121.29
S500126,2026-01-15 00:00:00,E1011,C2140,P3006,10,R01,209960.93
S500127,2026-08-12 00:00:00,E1105,C2176,P3027,1,R06,3381.44
S500128,2026-03-02 00:00:00,E1090,C2415,P3056,6,R03,288760.2
S500129,2026-05-02 00:00:00,E1018,C2108,P3025,7,R04,432934.09
S500130,2026-01-21 00:00:00,E1054,C2211,P3029,9,R06,603844.19
S500131,2026-02-15 00:00:00,E1007,C2447,P3028,3,R01,139456.85
S500132,2026-07-16 00:00:00,E1085,C2074,P3016,2,R02,102255.64
S500133,2026-05-14 00:00:00,E1071,C2167,P3054,5,R05,36384.29
S500134,2026-02-07 00:00:00,E1098,C2404,P3053,10,R03,154823.7
S500135,2026-03-03 00:00:00,E1076,C2357,P3012,1,R05,21029.71
S500136,2026-03-27 00:00:00,E1010,C2304,P3020,6,R05,45776.37
S500137,2026-07-09 00:00:00,E1093,C2233,P3018,9,R05,368263.61
S500138,2026-07-29 00:00:00,E1079,C2327,P3034,10,R02,167908.86
S500139,2026-03-19 00:00:00,E1085,C2372,P3055,9,R02,17332.97
S500140,2026-07-21 00:00:00,E1022,C2182,P3053,7,R01,110141.3
S500141,2026-02-15 00:00:00,E1025,C2122,P3023,11,R03,803646.96
S500142,2026-05-21 00:00:00,E1104,C2334,P3045,7,R04,339967.61
S500143,2026-08-11 00:00:00,E1005,C2203,P3027,8,R02,25284.64
S500144,2026-08-10 00:00:00,E1025,C2029,P3049,10,R03,457739.26
S500145,2026-01-03 00:00:00,E1061,C2202,P3017,2,R03,26647.46
S500146,2026-08-10 00:00:00,E1101,C2093,P3048,6,R01,189936.55
S500147,2026-01-06 00:00:00,E1004,C2329,P3021,5,R04,209731.71
S500148,2026-04-03 00:00:00,E1070,C2356,P3050,5,R06,59743.76
S500149,2026-01-08 00:00:00,E1103,C2176,P3040,3,R02,50146.09
S500150,2026-06-21 00:00:00,E1042,C2330,P3031,3,R03,181107.08
S500151,2026-08-25 00:00:00,E1050,C2211,P3003,6,R02,210342.11
S500152,2026-08-23 00:00:00,E1056,C2184,P3017,10,R06,136184.4
S500153,2026-04-18 00:00:00,E1036,C2095,P3050,10,R05,134434.14
S500154,2026-06-10 00:00:00,E1097,C2273,P3058,7,R04,296113.5
S500155,2026-07-28 00:00:00,E1058,C2137,P3026,1,R02,37289.1
S500156,2026-08-28 00:00:00,E1110,C2237,P3023,3,R01,196660.92
S500157,2026-03-16 00:00:00,E1091,C2353,P3006,1,R01,23022.83
S500158,2026-03-18 00:00:00,E1042,C2418,P3028,10,R03,472896.71
S500159,2026-02-19 00:00:00,E1079,C2429,P3008,3,R02,125516.94
S500160,2026-01-11 00:00:00,E1070,C2265,P3055,5,R06,10028.01
S500161,2026-04-05 00:00:00,E1048,C2135,P3058,9,R04,345676.15
S500162,2026-06-05 00:00:00,E1080,C2144,P3045,3,R01,145976.35
S500163,2026-08-24 00:00:00,E1014,C2019,P3008,10,R02,414180.13
S500164,2026-03-11 00:00:00,E1028,C2231,P3019,10,R04,552973.21
S500165,2026-06-18 00:00:00,E1007,C2134,P3038,9,R01,568563.95
S500166,2026-01-16 00:00:00,E1018,C2114,P3029,1,R04,70007.19
S500167,2026-03-09 00:00:00,E1037,C2139,P3023,6,R02,400366.64
S500168,2026-04-09 00:00:00,E1106,C2125,P3047,9,R02,411212.64
S500169,2026-02-17 00:00:00,E1115,C2204,P3032,5,R04,303033.86
S500170,2026-07-03 00:00:00,E1101,C2061,P3010,11,R01,525416.22
S500171,2026-03-05 00:00:00,E1083,C2250,P3027,10,R02,34800.91
S500172,2026-07-06 00:00:00,E1107,C2298,P3049,2,R03,90679.19
S500173,2026-03-31 00:00:00,E1003,C2013,P3001,5,R05,139268.52
S500174,2026-07-09 00:00:00,E1079,C2396,P3039,1,R02,24732.13
S500175,2026-03-17 00:00:00,E1054,C2255,P3029,9,R06,644953.87
S500176,2026-05-19 00:00:00,E1068,C2085,P3059,10,R05,181692.99
S500177,2026-04-11 00:00:00,E1054,C2020,P3045,10,R06,494668.54
S500178,2026-03-30 00:00:00,E1094,C2050,P3003,9,R04,327788.72
S500179,2026-01-18 00:00:00,E1045,C2164,P3051,6,R02,319090.35
S500180,2026-01-19 00:00:00,E1092,C2092,P3047,11,R05,516344.43
S500181,2026-08-03 00:00:00,E1023,C2088,P3037,9,R02,544199.73
S500182,2026-02-24 00:00:00,E1113,C2069,P3031,3,R06,179194.9
S500183,2026-04-12 00:00:00,E1109,C2037,P3011,4,R02,196937.03
S500184,2026-04-28 00:00:00,E1057,C2253,P3022,6,R01,105048.11
S500185,2026-07-29 00:00:00,E1069,C2252,P3018,4,R01,143528.73
S500186,2026-06-03 00:00:00,E1101,C2140,P3035,1,R01,42654.86
S500187,2026-05-14 00:00:00,E1062,C2355,P3006,7,R02,157417.92
S500188,2026-01-04 00:00:00,E1060,C2381,P3003,5,R02,165135.89
S500189,2026-04-18 00:00:00,E1013,C2168,P3005,8,R05,159150.05
S500190,2026-04-25 00:00:00,E1090,C2054,P3009,9,R03,215326.72
S500191,2026-01-29 00:00:00,E1071,C2386,P3028,5,R05,241298.13
S500192,2026-02-28 00:00:00,E1086,C2178,P3019,8,R02,433873.62
S500193,2026-05-05 00:00:00,E1105,C2297,P3028,1,R06,49397.03
S500194,2026-04-08 00:00:00,E1041,C2301,P3027,1,R01,3208.01
S500195,2026-01-17 00:00:00,E1014,C2359,P3013,7,R02,201663.73
S500196,2026-04-17 00:00:00,E1043,C2106,P3038,6,R01,384915.75
S500197,2026-02-12 00:00:00,E1059,C2137,P3043,5,R01,320207.79
S500198,2026-09-02 00:00:00,E1055,C2190,P3053,5,R04,83599.06
S500199,2026-03-21 00:00:00,E1111,C2128,P3021,9,R02,364183.36
S500200,2026-07-13 00:00:00,E1013,C2342,P3027,1,R05,3191.53
S500201,2026-06-11 00:00:00,E1014,C2047,P3046,8,R02,58684.06
S500202,2026-09-04 00:00:00,E1076,C2005,P3006,2,R05,43584.85
S500203,2026-01-08 00:00:00,E1099,C2257,P3038,7,R01,463078.74
S500204,2026-05-21 00:00:00,E1059,C2300,P3049,6,R01,275513.8
S500205,2026-04-16 00:00:00,E1042,C2150,P3011,10,R03,530235.31
S500206,2026-01-08 00:00:00,E1120,C2294,P3047,2,R04,97384.04
S500207,2026-08-10 00:00:00,E1082,C2243,P3041,3,R04,168567.98
S500208,2026-04-06 00:00:00,E1047,C2275,P3053,4,R02,65476.35
S500209,2026-08-16 00:00:00,E1036,C2208,P3017,7,R05,99983.09
S500210,2026-08-27 00:00:00,E1004,C2415,P3056,8,R04,381344.62
S500211,2026-04-04 00:00:00,E1006,C2115,P3039,11,R02,291072.82
S500212,2026-03-06 00:00:00,E1092,C2195,P3007,2,R05,121450.04
S500213,2026-06-20 00:00:00,E1012,C2343,P3030,8,R06,373454.66
S500214,2026-02-08 00:00:00,E1073,C2170,P3021,11,R01,428506.65
S500215,2026-03-22 00:00:00,E1119,C2379,P3001,9,R06,226990.3
S500216,2026-07-06 00:00:00,E1058,C2082,P3025,7,R02,406399.08
S500217,2026-03-25 00:00:00,E1011,C2154,P3032,1,R01,68763.11
S500218,2026-03-29 00:00:00,E1108,C2141,P3059,6,R05,110108.35
S500219,2026-08-30 00:00:00,E1118,C2314,P3057,8,R02,335129.61
S500220,2026-03-27 00:00:00,E1035,C2146,P3008,5,R06,186107.96
S500221,2026-04-03 00:00:00,E1069,C2323,P3005,2,R01,44821.92
S500222,2026-03-27 00:00:00,E1074,C2122,P3030,5,R05,213523.37
S500223,2026-02-13 00:00:00,E1032,C2252,P3051,8,R02,414441.32
S500224,2026-05-17 00:00:00,E1077,C2343,P3008,2,R05,73427.53
S500225,2026-06-14 00:00:00,E1111,C2387,P3049,1,R02,41512.11
S500226,2026-03-15 00:00:00,E1073,C2311,P3019,4,R01,213863.03
S500227,2026-02-05 00:00:00,E1111,C2089,P3044,4,R02,123088.52
S500228,2026-04-11 00:00:00,E1068,C2058,P3059,9,R05,154735.71
S500229,2026-08-08 00:00:00,E1072,C2063,P3055,3,R02,6278.42
S500230,2026-06-05 00:00:00,E1043,C2347,P3030,4,R01,165905.52
S500231,2026-06-19 00:00:00,E1065,C2308,P3015,3,R02,37677.57
S500232,2026-06-20 00:00:00,E1033,C2382,P3036,2,R01,63670.29
S500233,2026-08-01 00:00:00,E1021,C2280,P3055,4,R04,8198.85
S500234,2026-08-04 00:00:00,E1059,C2072,P3044,8,R01,239959.37
S500235,2026-06-19 00:00:00,E1100,C2009,P3027,1,R01,3315.57
S500236,2026-04-14 00:00:00,E1052,C2366,P3013,8,R05,235975.11
S500237,2026-03-07 00:00:00,E1082,C2421,P3014,8,R04,74676.09
S500238,2026-02-24 00:00:00,E1026,C2094,P3037,3,R05,171916.16
S500239,2026-07-19 00:00:00,E1013,C2373,P3054,10,R05,72077.72
S500240,2026-06-25 00:00:00,E1073,C2339,P3048,10,R01,313008.13
S500241,2026-04-01 00:00:00,E1041,C2437,P3030,6,R01,277552.67
S500242,2026-01-22 00:00:00,E1018,C2336,P3039,4,R04,102096.67
S500243,2026-04-11 00:00:00,E1047,C2152,P3047,1,R02,45905.3
S500244,2026-06-04 00:00:00,E1012,C2405,P3013,1,R06,28183.56
S500245,2026-05-01 00:00:00,E1072,C2356,P3058,5,R02,186817.02
S500246,2026-04-03 00:00:00,E1024,C2040,P3016,8,R02,409823.48
S500247,2026-07-14 00:00:00,E1093,C2359,P3044,1,R05,32403.79
S500248,2026-04-18 00:00:00,E1112,C2062,P3007,2,R02,121336.61
S500249,2026-05-21 00:00:00,E1072,C2254,P3048,7,R02,240650.43
S500250,2026-06-22 00:00:00,E1039,C2069,P3055,8,R04,14775.48
S500251,2026-01-10 00:00:00,E1003,C2398,P3055,3,R05,6075.25
S500252,2026-08-16 00:00:00,E1088,C2245,P3027,11,R04,35649.51
S500253,2026-01-09 00:00:00,E1086,C2365,P3045,8,R02,366973.81
S500254,2026-07-01 00:00:00,E1091,C2170,P3055,1,R01,2044.36
S500255,2026-09-05 00:00:00,E1081,C2178,P3035,9,R06,427095.78
S500256,2026-09-04 00:00:00,E1115,C2189,P3015,2,R04,27788.86
S500257,2026-06-04 00:00:00,E1095,C2260,P3028,2,R05,97138.82
S500258,2026-02-03 00:00:00,E1074,C2072,P3035,4,R05,192621.94
S500259,2026-08-31 00:00:00,E1038,C2017,P3007,10,R01,554669.57
S500260,2026-05-09 00:00:00,E1051,C2370,P3050,3,R06,40147.68
S500261,2026-06-09 00:00:00,E1054,C2341,P3046,4,R06,29274.7
S500262,2026-03-30 00:00:00,E1034,C2057,P3050,6,R06,78544.23
S500263,2026-04-03 00:00:00,E1023,C2218,P3051,7,R02,386360.7
S500264,2026-03-12 00:00:00,E1116,C2107,P3046,5,R06,36420.64
S500265,2026-08-29 00:00:00,E1113,C2304,P3020,2,R06,16569.44
S500266,2026-03-08 00:00:00,E1006,C2428,P3032,3,R02,188691.28
S500267,2026-07-31 00:00:00,E1105,C2173,P3038,10,R06,701360.12
S500268,2026-05-28 00:00:00,E1019,C2219,P3040,11,R03,181180.93
S500269,2026-04-27 00:00:00,E1039,C2247,P3032,3,R04,188624.78
S500270,2026-04-04 00:00:00,E1120,C2218,P3026,5,R04,187174.55
S500271,2026-06-12 00:00:00,E1119,C2373,P3058,11,R06,425451.51
S500272,2026-04-09 00:00:00,E1038,C2417,P3039,5,R01,124371.65
S500273,2026-04-23 00:00:00,E1096,C2031,P3020,4,R03,29905.93
S500274,2026-04-13 00:00:00,E1117,C2368,P3018,8,R05,307756.52
S500275,2026-04-01 00:00:00,E1097,C2047,P3050,6,R04,74571.43
S500276,2026-03-31 00:00:00,E1066,C2134,P3015,6,R04,75435.88
S500277,2026-07-25 00:00:00,E1011,C2108,P3052,1,R01,60812.66
S500278,2026-01-17 00:00:00,E1081,C2072,P3022,6,R06,121580.67
S500279,2026-01-18 00:00:00,E1044,C2327,P3051,3,R06,152151.78
S500280,2026-06-22 00:00:00,E1050,C2418,P3022,6,R02,110244.91
S500281,2026-04-26 00:00:00,E1046,C2108,P3053,10,R04,148946.67
S500282,2026-04-03 00:00:00,E1084,C2309,P3021,11,R01,432779.42
S500283,2026-07-31 00:00:00,E1089,C2398,P3002,6,R06,47217.95
S500284,2026-06-30 00:00:00,E1099,C2272,P3040,2,R01,34296.36
S500285,2026-04-01 00:00:00,E1017,C2171,P3053,1,R02,15921.76
S500286,2026-03-23 00:00:00,E1056,C2116,P3043,11,R06,627221.81
S500287,2026-03-09 00:00:00,E1104,C2329,P3018,3,R04,118792.96
S500288,2026-07-12 00:00:00,E1036,C2074,P3023,5,R05,365740.63
S500289,2026-04-24 00:00:00,E1100,C2256,P3013,4,R01,115572.46
S500290,2026-01-01 00:00:00,E1029,C2081,P3041,7,R04,371912.14
S500291,2026-02-27 00:00:00,E1003,C2268,P3009,4,R05,85815.15
S500292,2026-06-03 00:00:00,E1096,C2128,P3049,8,R03,352282.71
S500293,2026-04-19 00:00:00,E1014,C2326,P3007,7,R02,388316.46
S500294,2026-05-28 00:00:00,E1043,C2403,P3041,10,R01,570759.75
S500295,2026-04-26 00:00:00,E1082,C2235,P3054,9,R04,61503.6
S500296,2026-03-28 00:00:00,E1061,C2041,P3001,1,R03,24557.62
S500297,2026-01-10 00:00:00,E1071,C2181,P3002,5,R05,35266.06
S500298,2026-02-28 00:00:00,E1094,C2157,P3004,4,R04,73741.45
S500299,2026-07-22 00:00:00,E1055,C2059,P3014,6,R04,51305.88
S500300,2026-02-10 00:00:00,E1105,C2345,P3032,1,R06,63630.56
S500301,2026-04-15 00:00:00,E1047,C2249,P3036,6,R02,183926.05
S500302,2026-05-13 00:00:00,E1021,C2192,P3002,1,R04,7479.82
S500303,2026-05-02 00:00:00,E1025,C2024,P3040,1,R03,18059.54
S500304,2026-07-12 00:00:00,E1063,C2400,P3050,8,R05,103621.99
S500305,2026-05-25 00:00:00,E1093,C2436,P3051,2,R05,111159.6
S500306,2026-01-22 00:00:00,E1096,C2080,P3014,10,R03,97401.76
S500307,2026-04-08 00:00:00,E1060,C2134,P3020,6,R02,46250.44
S500308,2026-09-05 00:00:00,E1111,C2421,P3025,6,R02,337004.43
S500309,2026-08-25 00:00:00,E1028,C2213,P3042,6,R04,123684.72
S500310,2026-06-18 00:00:00,E1027,C2388,P3049,8,R02,348992.82
S500311,2026-08-09 00:00:00,E1008,C2348,P3008,4,R06,158399.72
S500312,2026-03-09 00:00:00,E1044,C2166,P3028,3,R06,128553.99
S500313,2026-07-16 00:00:00,E1049,C2425,P3046,6,R04,43606.32
S500314,2026-05-19 00:00:00,E1055,C2348,P3021,4,R04,177437.71
S500315,2026-02-25 00:00:00,E1061,C2337,P3023,2,R03,137261.65
S500316,2026-06-28 00:00:00,E1039,C2398,P3032,6,R04,416035.26
S500317,2026-05-29 00:00:00,E1071,C2071,P3008,10,R05,386671.75
S500318,2026-04-09 00:00:00,E1089,C2214,P3031,5,R06,283128.81
S500319,2026-03-17 00:00:00,E1094,C2435,P3037,11,R04,665426.85
S500320,2026-01-26 00:00:00,E1100,C2065,P3016,9,R01,448588.04
S500321,2026-04-25 00:00:00,E1055,C2221,P3040,11,R04,196414.56
S500322,2026-05-27 00:00:00,E1016,C2308,P3042,6,R02,121723.02
S500323,2026-04-19 00:00:00,E1098,C2286,P3027,3,R03,10280.89
S500324,2026-07-07 00:00:00,E1027,C2185,P3040,11,R02,178478.14
S500325,2026-07-18 00:00:00,E1050,C2207,P3041,5,R02,274819.78
S500326,2026-02-16 00:00:00,E1097,C2099,P3018,10,R04,373965.19
S500327,2026-09-04 00:00:00,E1020,C2242,P3035,8,R02,385023.49
S500328,2026-03-12 00:00:00,E1010,C2158,P3049,9,R05,374797.96
S500329,2026-06-03 00:00:00,E1066,C2098,P3052,8,R04,535815.18
S500330,2026-02-09 00:00:00,E1095,C2042,P3015,3,R05,39126.62
S500331,2026-05-13 00:00:00,E1056,C2139,P3053,9,R06,135390.07
S500332,2026-05-29 00:00:00,E1053,C2283,P3027,3,R06,9826.19
S500333,2026-07-25 00:00:00,E1041,C2408,P3017,8,R01,103972.28
S500334,2026-05-12 00:00:00,E1005,C2227,P3040,10,R02,187952.88
S500335,2026-01-23 00:00:00,E1004,C2423,P3002,9,R04,70561.5
S500336,2026-04-16 00:00:00,E1066,C2072,P3049,7,R04,320964.06
S500337,2026-03-25 00:00:00,E1030,C2243,P3050,4,R01,52529.92
S500338,2026-05-23 00:00:00,E1118,C2018,P3031,10,R02,606721.48
S500339,2026-08-30 00:00:00,E1012,C2077,P3037,9,R06,568008.76
S500340,2026-04-26 00:00:00,E1099,C2045,P3041,3,R01,174679.9
S500341,2026-04-19 00:00:00,E1104,C2371,P3041,3,R04,175772.2
S500342,2026-08-09 00:00:00,E1060,C2343,P3034,2,R02,30259.51
S500343,2026-05-16 00:00:00,E1077,C2140,P3034,10,R05,154759.59
S500344,2026-02-10 00:00:00,E1028,C2177,P3051,3,R04,164150.13
S500345,2026-04-22 00:00:00,E1099,C2222,P3055,1,R01,1826.15
S500346,2026-05-27 00:00:00,E1022,C2415,P3059,4,R01,68412.25
S500347,2026-04-22 00:00:00,E1041,C2092,P3003,8,R01,301023.28
S500348,2026-04-13 00:00:00,E1097,C2022,P3017,5,R04,67256.97
S500349,2026-02-15 00:00:00,E1104,C2172,P3014,2,R04,18400.87
S500350,2026-06-05 00:00:00,E1048,C2092,P3014,3,R04,26125.19
S500351,2026-08-26 00:00:00,E1068,C2192,P3046,1,R05,7532.81
S500352,2026-08-07 00:00:00,E1093,C2077,P3038,2,R05,128818.28
S500353,2026-03-09 00:00:00,E1037,C2281,P3035,1,R02,47917.84
S500354,2026-05-02 00:00:00,E1077,C2364,P3001,2,R05,55670.95
S500355,2026-01-15 00:00:00,E1113,C2179,P3048,3,R06,105875.9
S500356,2026-08-15 00:00:00,E1084,C2238,P3029,1,R01,65139.27
