Employee_ID,Employee_Name,Region_Code,Team,Join_Date,Status
E1077,Employee_077,R05,Team C,2025-08-21 00:00:00,Active
E1078,Employee_078,R01,Team A,2021-02-07 00:00:00,Active
E1079,Employee_079,R02,Team C,2021-08-18 00:00:00,Active
E1080,Employee_080,R01,Team B,2024-10-20 00:00:00,Active
E1081,Employee_081,R06,Team D,2022-07-17 00:00:00,Active
E1082,Employee_082,R04,Team A,2022-03-14 00:00:00,Active
E1083,Employee_083,R02,Team D,2025-12-05 00:00:00,Active
E1084,Employee_084,R01,Team B,2024-07-30 00:00:00,Active
E1085,Employee_085,R02,Team B,2021-01-27 00:00:00,Active
E1086,Employee_086,R02,Team B,2021-08-14 00:00:00,Active
E1087,Employee_087,R05,Team C,2024-07-24 00:00:00,Active
E1088,Employee_088,R04,Team C,2023-03-09 00:00:00,Active
E1089,Employee_089,R06,Team D,2025-06-21 00:00:00,Active
E1090,Employee_090,R03,Team D,2021-10-11 00:00:00,Active
E1091,Employee_091,R01,Team A,2023-05-29 00:00:00,Active
E1092,Employee_092,R05,Team A,2023-08-18 00:00:00,Active
E1093,Employee_093,R05,Team D,2025-02-13 00:00:00,Active
E1094,Employee_094,R04,Team C,2022-03-29 00:00:00,Active
E1095,Employee_095,R05,Team B,2023-10-17 00:00:00,Active
E1096,Employee_096,R03,Team D,2023-03-27 00:00:00,Active
E1097,Employee_097,R04,Team A,2022-10-21 00:00:00,Active
E1098,Employee_098,R03,Team C,2025-03-20 00:00:00,Active
E1099,Employee_099,R01,Team D,2022-07-01 00:00:00,Active
E1100,Employee_100,R01,Team D,2024-04-30 00:00:00,Active
E1101,Employee_101,R01,Team C,2023-12-09 00:00:00,Active
E1102,Employee_102,R04,Team D,2025-03-16 00:00:00,Active
E1103,Employee_103,R02,Team C,2021-01-17 00:00:00,Active
E1104,Employee_104,R04,Team B,2024-04-10 00:00:00,Active
E1105,Employee_105,R06,Team C,2024-05-28 00:00:00,Active
E1106,Employee_106,R02,Team C,2021-06-07 00:00:00,Active
E1107,Employee_107,R03,Team C,2022-04-22 00:00:00,Active
E1108,Employee_108,R05,Team D,2023-12-06 00:00:00,Active
E1109,Employee_109,R02,Team D,2024-10-28 00:00:00,Active
E1110,Employee_110,R01,Team C,2022-06-02 00:00:00,Active
E1111,Employee_111,R02,Team D,2021-04-09 00:00:00,Active
E1112,Employee_112,R02,Team A,2025-11-04 00:00:00,Active
E1113,Employee_113,R06,Team A,2023-11-27 00:00:00,Active
E1114,Employee_114,R05,Team D,2021-10-07 00:00:00,Active
E1115,Employee_115,R04,Team D,2024-10-04 00:00:00,Active
E1116,Employee_116,R06,Team C,2022-05-12 00:00:00,Active
E1117,Employee_117,R05,Team B,2021-10-29 00:00:00,Active
E1118,Employee_118,R02,Team D,2021-06-30 00:00:00,Active
E1119,Employee_119,R06,Team A,2022-08-30 00:00:00,Active
E1120,Employee_120,R04,Team C,2024-01-28 00:00:00,Active
E1008,Employee_008_DUP,R06,Team A,2021-05-24 00:00:00,Active
