Collection_ID,Collection_Date,Sale_ID,Customer_ID,Collection_Amount,Payment_Mode
COL800177,2026-08-28 00:00:00,S502631,C2050,9224.59,Cash
COL800178,2026-03-02 00:00:00,S501909,C2050,88202.13,Bank Transfer
COL800179,2026-05-06 00:00:00,S500192,C2178,298820.84,Card
COL800180,2026-01-07 00:00:00,S500023,C2217,54546.44,UPI
COL800181,2026-06-07 00:00:00,S500799,C2304,24068.12,Cash
COL800182,2026-05-05 00:00:00,S503088,C2288,46373.72,Cheque
COL800183,2026-01-15 00:00:00,S500748,C2027,84285.2,Bank Transfer
COL800184,2026-04-18 00:00:00,S503445,C2136,20880.18,Cash
COL800185,2026-01-04 00:00:00,S500494,C2175,137458.33,Card
COL800186,2026-03-04 00:00:00,S500546,C2335,248878.55,Card
COL800187,2026-03-11 00:00:00,S502848,C2222,85129.2,Cheque
COL800188,2026-02-07 00:00:00,S503224,C2038,26299.85,Cash
COL800189,2026-06-24 00:00:00,S502561,C2426,32021.33,Cash
COL800190,2026-07-07 00:00:00,S504014,C2168,7557.01,Cash
COL800191,2026-08-15 00:00:00,S502896,C2240,89613.35,Card
COL800192,2026-01-02 00:00:00,S501797,C2067,384518.1,Cash
COL800193,2026-07-16 00:00:00,S500816,C2253,230429.67,Cash
COL800194,2026-01-08 00:00:00,S503395,C2343,94393.92,Cash
COL800195,2026-02-20 00:00:00,S501986,C2409,38875.64,Cash
COL800196,2026-04-27 00:00:00,S500864,C2432,75614.42,Cheque
COL800197,2026-08-10 00:00:00,S504841,C2315,19807.77,Card
COL800198,2026-04-22 00:00:00,S500700,C2412,190225.79,UPI
COL800199,2026-01-19 00:00:00,S500551,C2123,91723.8,Cheque
COL800200,2026-04-04 00:00:00,S501737,C2229,64784.92,Cash
COL800201,2026-09-04 00:00:00,S501004,C2405,36388.94,UPI
COL800202,2026-01-31 00:00:00,S504067,C2335,261277.53,Bank Transfer
COL800203,2026-03-21 00:00:00,S501297,C2427,200383.38,UPI
COL800204,2026-04-12 00:00:00,S503002,C2440,100187.59,Cheque
COL800205,2026-01-22 00:00:00,S501016,C2342,233475.18,Card
COL800206,2026-02-02 00:00:00,S502348,C2084,95787.58,Cheque
COL800207,2026-08-30 00:00:00,S500385,C2134,211031.4,Card
COL800208,2026-08-02 00:00:00,S505166,C2204,70792.51,Card
COL800209,2026-07-19 00:00:00,S502804,C2296,76419.28,Card
COL800210,2026-06-14 00:00:00,S503749,C2309,150798.35,Bank Transfer
COL800211,2026-05-20 00:00:00,S501365,C2409,71236.25,UPI
COL800212,2026-04-24 00:00:00,S503042,C2022,134075.04,Cheque
COL800213,2026-07-16 00:00:00,S502754,C2361,83355.11,Cheque
COL800214,2026-03-05 00:00:00,S500735,C2105,92437.57,Card
COL800215,2026-06-02 00:00:00,S504751,C2018,69690.41,Bank Transfer
COL800216,2026-07-01 00:00:00,S504505,C2340,72993.77,Bank Transfer
COL800217,2026-01-29 00:00:00,S502842,C2261,31282.1,Cash
COL800218,2026-01-13 00:00:00,S502410,C2286,214134.61,Bank Transfer
COL800219,2026-09-02 00:00:00,S503844,C2100,102954.5,Card
COL800220,2026-01-26 00:00:00,S502345,C2209,656736.41,Card
COL800221,2026-01-22 00:00:00,S501043,C2106,400953.22,UPI
COL800222,2026-04-03 00:00:00,S500512,C2303,29544.55,Card
COL800223,2026-03-17 00:00:00,S502210,C2374,215205.26,UPI
COL800224,2026-08-28 00:00:00,S503748,C2049,110754.08,Bank Transfer
COL800225,2026-04-20 00:00:00,S501246,C2161,64254.8,Cash
COL800226,2026-08-23 00:00:00,S503648,C2247,31032.86,Cheque
COL800227,2026-04-02 00:00:00,S504295,C2212,15860.46,Card
COL800228,2026-03-14 00:00:00,S502556,C2087,35163.77,Bank Transfer
COL800229,2026-04-29 00:00:00,S500265,C2304,12158.07,Card
COL800230,2026-01-10 00:00:00,S501380,C2310,88102.2,UPI
COL800231,2026-02-17 00:00:00,S502867,C2027,20833.91,Bank Transfer
COL800232,2026-08-31 00:00:00,S500674,C2245,181345.09,Cheque
COL800233,2026-06-19 00:00:00,S503785,C2339,154804.16,UPI
COL800234,2026-03-31 00:00:00,S501939,C2413,88373.6,Bank Transfer
COL800235,2026-09-02 00:00:00,S504985,C2254,487533.67,Cheque
COL800236,2026-08-16 00:00:00,S502178,C2301,602682.71,UPI
COL800237,2026-07-06 00:00:00,S501771,C2447,450384.31,Cheque
COL800238,2026-06-30 00:00:00,S500991,C2304,58534.1,Bank Transfer
COL800239,2026-06-17 00:00:00,S505038,C2377,277995.46,UPI
COL800240,2026-07-22 00:00:00,S504622,C2354,176979.19,Cash
COL800241,2026-07-09 00:00:00,S502198,C2427,72743.44,Card
COL800242,2026-01-06 00:00:00,S504096,C2429,236966.44,Cash
COL800243,2026-05-12 00:00:00,S501339,C2028,171961.85,Cheque
COL800244,2026-09-02 00:00:00,S500730,C2379,354417.25,Bank Transfer
COL800245,2026-04-01 00:00:00,S502042,C2137,268087.51,Card
COL800246,2026-02-24 00:00:00,S502602,C2021,172816.54,Bank Transfer
COL800247,2026-05-06 00:00:00,S504165,C2372,85711.93,Cheque
COL800248,2026-08-04 00:00:00,S504778,C2338,205325.25,Bank Transfer
COL800249,2026-07-16 00:00:00,S501098,C2367,142238.34,UPI
COL800250,2026-08-30 00:00:00,S501616,C2069,56061.74,UPI
COL800251,2026-09-03 00:00:00,S505164,C2149,221236.9,Cheque
COL800252,2026-05-11 00:00:00,S504535,C2053,128327.38,Bank Transfer
COL800253,2026-01-07 00:00:00,S503625,C2107,319711.56,Cheque
COL800254,2026-03-29 00:00:00,S501224,C2442,12952.62,Card
COL800255,2026-03-27 00:00:00,S501627,C2112,433195.97,Bank Transfer
COL800256,2026-05-20 00:00:00,S500689,C2063,52598.12,UPI
COL800257,2026-04-09 00:00:00,S503400,C2322,124177.64,Cash
COL800258,2026-05-25 00:00:00,S504238,C2441,432946.03,UPI
COL800259,2026-07-14 00:00:00,S503091,C2116,180935.17,Bank Transfer
COL800260,2026-03-16 00:00:00,S504839,C2008,106978.73,Bank Transfer
COL800261,2026-07-17 00:00:00,S502905,C2278,12208.79,Bank Transfer
COL800262,2026-04-17 00:00:00,S504898,C2075,255242.14,Bank Transfer
COL800263,2026-06-13 00:00:00,S503157,C2383,398433.58,Card
COL800264,2026-05-25 00:00:00,S502784,C2331,157286.48,Cash
COL800265,2026-03-27 00:00:00,S502552,C2322,227020.49,UPI
COL800266,2026-01-01 00:00:00,S501253,C2141,132073.67,Card
COL800267,2026-08-24 00:00:00,S503500,C2243,141012.57,Cheque
COL800268,2026-04-30 00:00:00,S501011,C2401,369391.38,Bank Transfer
COL800269,2026-03-08 00:00:00,S500893,C2233,26932.3,UPI
COL800270,2026-07-27 00:00:00,S501761,C2115,137589.29,Cheque
COL800271,2026-04-09 00:00:00,S503151,C2404,66237.76,Cash
COL800272,2026-07-25 00:00:00,S502920,C2436,197838.8,UPI
COL800273,2026-02-18 00:00:00,S500466,C2344,365160.2,Card
COL800274,2026-02-20 00:00:00,S500477,C2419,114442.55,Cheque
COL800275,2026-03-12 00:00:00,S502216,C2418,178406.1,UPI
COL800276,2026-08-06 00:00:00,S500763,C2034,141812.13,Card
COL800277,2026-04-30 00:00:00,S501482,C2019,9057.04,Bank Transfer
COL800278,2026-06-20 00:00:00,S500063,C2251,1642.98,UPI
COL800279,2026-04-22 00:00:00,S504326,C2306,103525.16,Bank Transfer
COL800280,2026-01-31 00:00:00,S500093,C2399,155855.94,Cheque
COL800281,2026-01-24 00:00:00,S504306,C2174,29652.15,Cheque
COL800282,2026-07-30 00:00:00,S500894,C2266,208351.08,Cheque
COL800283,2026-02-06 00:00:00,S504435,C2178,22879.25,Bank Transfer
COL800284,2026-07-12 00:00:00,S501574,C2314,70520.11,Bank Transfer
COL800285,2026-08-05 00:00:00,S500493,C2155,493871.65,Card
COL800286,2026-03-04 00:00:00,S503037,C2166,82265.2,UPI
COL800287,2026-02-25 00:00:00,S503787,C2108,7907.02,Card
COL800288,2026-07-21 00:00:00,S501793,C2131,184684.72,Bank Transfer
COL800289,2026-01-18 00:00:00,S504661,C2041,9356.81,UPI
COL800290,2026-04-16 00:00:00,S503885,C2172,202555.33,Cheque
COL800291,2026-07-12 00:00:00,S500970,C2320,147828.96,Card
COL800292,2026-06-06 00:00:00,S502838,C2166,227098.25,Card
COL800293,2026-03-18 00:00:00,S503757,C2255,194944.25,Card
COL800294,2026-01-04 00:00:00,S503553,C2051,127864.68,Bank Transfer
COL800295,2026-05-01 00:00:00,S504529,C2286,41295.66,UPI
COL800296,2026-05-20 00:00:00,S504526,C2157,84786.47,Cheque
COL800297,2026-07-03 00:00:00,S500188,C2381,164719.23,Bank Transfer
COL800298,2026-02-17 00:00:00,S502107,C2356,193905.97,Cheque
COL800299,2026-05-27 00:00:00,S504545,C2429,122513.93,Cash
COL800300,2026-01-26 00:00:00,S504624,C2012,371589.93,Cash
COL800301,2026-04-18 00:00:00,S503434,C2441,229297.85,Cheque
COL800302,2026-02-07 00:00:00,S503162,C2348,319427.66,Cash
COL800303,2026-03-21 00:00:00,S502218,C2334,141025.57,UPI
COL800304,2026-08-24 00:00:00,S504928,C2250,150877.1,UPI
COL800305,2026-06-02 00:00:00,S500787,C2090,143882.48,Bank Transfer
COL800306,2026-07-03 00:00:00,S503193,C2295,283095.65,Cheque
COL800307,2026-07-21 00:00:00,S504318,C2182,223258.42,Bank Transfer
COL800308,2026-08-17 00:00:00,S501298,C2250,93412.19,UPI
COL800309,2026-01-28 00:00:00,S503360,C2364,90842.19,UPI
COL800310,2026-03-02 00:00:00,S500204,C2300,237225.18,UPI
COL800311,2026-08-08 00:00:00,S500830,C2243,37866.04,Card
COL800312,2026-03-30 00:00:00,S504107,C2412,149104.04,Cash
COL800313,2026-03-30 00:00:00,S503278,C2039,151786.78,Bank Transfer
COL800314,2026-06-28 00:00:00,S502051,C2246,40103.04,Bank Transfer
COL800315,2026-05-20 00:00:00,S503984,C2283,298430.58,UPI
COL800316,2026-01-08 00:00:00,S504605,C2122,45774.14,Card
COL800317,2026-08-16 00:00:00,S504638,C2421,158912.15,Bank Transfer
COL800318,2026-05-02 00:00:00,S503540,C2244,24232.27,Bank Transfer
COL800319,2026-04-13 00:00:00,S501695,C2322,119402.25,Card
COL800320,2026-07-05 00:00:00,S504431,C2366,192014.28,UPI
COL800321,2026-03-29 00:00:00,S504386,C2084,252203.23,Card
COL800322,2026-01-23 00:00:00,S502705,C2330,72336.2,Cash
COL800323,2026-02-06 00:00:00,S500110,C2448,45731.98,Bank Transfer
COL800324,2026-01-11 00:00:00,S502052,C2144,464296.65,Cash
COL800325,2026-01-17 00:00:00,S504421,C2304,68522.81,Bank Transfer
COL800326,2026-08-08 00:00:00,S502840,C2001,33376.8,Cash
COL800327,2026-07-03 00:00:00,S501730,C2309,105794.45,Bank Transfer
COL800328,2026-06-30 00:00:00,S501421,C2437,58465.19,UPI
COL800329,2026-07-14 00:00:00,S504922,C2326,427568.79,Cheque
COL800330,2026-05-10 00:00:00,S502748,C2298,108226.28,Card
COL800331,2026-08-31 00:00:00,S505110,C2023,294353.05,Bank Transfer
COL800332,2026-01-29 00:00:00,S505002,C2324,167303.44,Card
COL800333,2026-02-26 00:00:00,S501696,C2369,534051.14,Bank Transfer
COL800334,2026-06-11 00:00:00,S500051,C2263,140694.69,Cheque
COL800335,2026-03-19 00:00:00,S501033,C2116,175649.76,UPI
COL800336,2026-05-02 00:00:00,S500360,C2280,189102.86,UPI
COL800337,2026-08-13 00:00:00,S502563,C2178,198209.41,Card
COL800338,2026-04-22 00:00:00,S500727,C2320,117160.04,Cheque
COL800339,2026-08-27 00:00:00,S501229,C2217,28614.61,Card
COL800340,2026-07-29 00:00:00,S501267,C2041,38361.37,UPI
COL800341,2026-04-03 00:00:00,S501533,C2295,451577.11,Cash
COL800342,2026-01-02 00:00:00,S500515,C2077,493917.9,Card
COL800343,2026-05-04 00:00:00,S504486,C2144,80271.76,Bank Transfer
COL800344,2026-07-22 00:00:00,S500764,C2096,45056.95,UPI
COL800345,2026-01-31 00:00:00,S500655,C2043,188562.38,Bank Transfer
COL800346,2026-04-27 00:00:00,S501693,C2125,29209.75,Cheque
COL800347,2026-04-23 00:00:00,S500996,C2158,36132.74,UPI
COL800348,2026-07-24 00:00:00,S504162,C2339,180700.46,UPI
COL800349,2026-02-13 00:00:00,S503371,C2210,308574.75,Card
COL800350,2026-05-07 00:00:00,S502587,C2392,78886.64,Card
COL800351,2026-03-31 00:00:00,S500683,C2131,37921.82,Bank Transfer
COL800352,2026-07-03 00:00:00,S501201,C2114,167234.44,Card
COL800353,2026-08-14 00:00:00,S501649,C2205,168432.92,Cash
COL800354,2026-07-01 00:00:00,S502646,C2090,16783.49,UPI
COL800355,2026-06-30 00:00:00,S502247,C2031,170138.04,Cheque
COL800356,2026-04-24 00:00:00,S504125,C2091,415584.27,UPI
COL800357,2026-03-15 00:00:00,S504995,C2372,617072.52,Bank Transfer
COL800358,2026-07-23 00:00:00,S503561,C2231,81168.32,Card
COL800359,2026-08-29 00:00:00,S505157,C2428,6549.07,UPI
COL800360,2026-08-02 00:00:00,S503211,C2057,290091.28,Card
COL800361,2026-02-15 00:00:00,S501017,C2012,286479.64,Bank Transfer
COL800362,2026-02-23 00:00:00,S502129,C2185,156563.57,Card
COL800363,2026-06-08 00:00:00,S503931,C2154,74593.03,Cheque
COL800364,2026-07-30 00:00:00,S500778,C2291,90126.15,Bank Transfer
COL800365,2026-04-19 00:00:00,S502661,C2164,5638.33,UPI
COL800366,2026-01-24 00:00:00,S505033,C2120,33046.06,UPI
COL800367,2026-06-02 00:00:00,S503006,C2080,213073.39,Cheque
COL800368,2026-06-12 00:00:00,S502197,C2444,300687.8,Cash
COL800369,2026-02-26 00:00:00,S500134,C2404,94678.23,Card
COL800370,2026-03-13 00:00:00,S502005,C2005,306737.24,UPI
COL800371,2026-03-10 00:00:00,S501537,C2447,22168.14,Cheque
COL800372,2026-08-02 00:00:00,S503948,C2187,61312.58,Card
COL800373,2026-01-28 00:00:00,S504974,C2107,166775.14,Bank Transfer
COL800374,2026-07-23 00:00:00,S503813,C2287,410020.81,Cheque
COL800375,2026-02-02 00:00:00,S504123,C2190,105152.12,Bank Transfer
COL800376,2026-02-22 00:00:00,S500390,C2038,83105.04,Bank Transfer
COL800377,2026-05-02 00:00:00,S502094,C2042,195520.16,Bank Transfer
COL800378,2026-01-16 00:00:00,S501823,C2033,205304.12,Card
COL800379,2026-06-03 00:00:00,S500871,C2022,210818.18,Cash
COL800380,2026-05-20 00:00:00,S500656,C2135,69513.03,Bank Transfer
COL800381,2026-03-28 00:00:00,S501970,C2096,16942.53,UPI
COL800382,2026-08-29 00:00:00,S503695,C2026,28717.94,Card
COL800383,2026-08-06 00:00:00,S503793,C2076,13621.8,Card
COL800384,2026-04-15 00:00:00,S505183,C2342,65702.6,Bank Transfer
COL800385,2026-03-18 00:00:00,S505076,C2358,312967.71,UPI
COL800386,2026-03-28 00:00:00,S502876,C2090,36716.37,Cheque
COL800387,2026-01-31 00:00:00,S504556,C2059,142527.79,Card
