Customer_ID,Customer_Name,Region_Code,Customer_Type,City
C2086,Customer_0086,R02,Wholesale,Bengaluru
C2087,Customer_0087,R02,Retail,Bengaluru
C2088,Customer_0088,R06,Retail,Bengaluru
C2089,Customer_0089,R02,Wholesale,Madurai
C2090,Customer_0090,R05,Retail,Bengaluru
C2091,Customer_0091,R03,Retail,Chennai
C2092,Customer_0092,R05,Wholesale,Mumbai
C2093,Customer_0093,R03,Retail,Chennai
C2094,Customer_0094,R03,Retail,Ahmedabad
C2095,Customer_0095,R02,Corporate,Mumbai
C2096,Customer_0096,R04,Wholesale,Chennai
C2097,Customer_0097,R01,Retail,Mumbai
C2098,Customer_0098,R02,Corporate,Ahmedabad
C2099,Customer_0099,R02,Wholesale,Pune
C2100,Customer_0100,R04,Corporate,Madurai
C2101,Customer_0101,R01,Wholesale,Madurai
C2102,Customer_0102,R05,Distributor,Bengaluru
C2103,Customer_0103,R06,Corporate,Coimbatore
C2104,Customer_0104,R06,Corporate,Bengaluru
C2105,Customer_0105,R05,Corporate,Delhi
C2106,Customer_0106,R02,Retail,Chennai
C2107,Customer_0107,R01,Retail,Mumbai
C2108,Customer_0108,R02,Corporate,Coimbatore
C2109,Customer_0109,R03,Wholesale,Ahmedabad
C2110,Customer_0110,R02,Corporate,Delhi
C2111,Customer_0111,R02,Retail,Ahmedabad
C2112,Customer_0112,R05,Wholesale,Madurai
C2113,Customer_0113,R05,Retail,Madurai
C2114,Customer_0114,R05,Wholesale,Bengaluru
C2115,Customer_0115,R06,Wholesale,Chennai
C2116,Customer_0116,R03,Wholesale,Coimbatore
C2117,Customer_0117,R05,Wholesale,Kolkata
C2118,Customer_0118,R01,Wholesale,Delhi
C2119,Customer_0119,R06,Retail,Delhi
C2120,Customer_0120,R04,Corporate,Bengaluru
C2121,Customer_0121,R01,Retail,Madurai
C2122,Customer_0122,R01,Wholesale,Bengaluru
C2123,Customer_0123,R05,Wholesale,Mumbai
C2124,Customer_0124,R04,Corporate,Coimbatore
C2125,Customer_0125,R04,Wholesale,Chennai
C2126,Customer_0126,R06,Corporate,Pune
C2127,Customer_0127,R04,Distributor,Hyderabad
C2128,Customer_0128,R03,Retail,Hyderabad
C2129,Customer_0129,R05,Retail,Bengaluru
C2130,Customer_0130,R04,Retail,Mumbai
C2131,Customer_0131,R06,Retail,Coimbatore
C2132,Customer_0132,R03,Wholesale,Kolkata
C2133,Customer_0133,R02,Distributor,Hyderabad
C2134,Customer_0134,R02,Retail,Coimbatore
C2135,Customer_0135,R03,Retail,Chennai
C2136,Customer_0136,R06,Retail,Ahmedabad
C2137,Customer_0137,R03,Corporate,Mumbai
C2138,Customer_0138,R05,Wholesale,Madurai
C2139,Customer_0139,R05,Retail,Coimbatore
C2140,Customer_0140,R02,Distributor,Chennai
C2141,Customer_0141,R04,Corporate,Kolkata
C2142,Customer_0142,R06,Retail,Pune
C2143,Customer_0143,R02,Wholesale,Madurai
C2144,Customer_0144,R04,Corporate,Pune
C2145,Customer_0145,R04,Retail,Kolkata
C2146,Customer_0146,R05,Retail,Chennai
C2147,Customer_0147,R01,Retail,Hyderabad
C2148,Customer_0148,R01,Retail,Pune
C2149,Customer_0149,R03,Corporate,Madurai
C2150,Customer_0150,R05,Distributor,Bengaluru
C2151,Customer_0151,R04,Retail,Delhi
C2152,Customer_0152,R06,Retail,Coimbatore
C2153,Customer_0153,R01,Retail,Hyderabad
C2154,Customer_0154,R04,Retail,Pune
C2155,Customer_0155,R01,Corporate,Ahmedabad
C2156,Customer_0156,R01,Retail,Coimbatore
C2157,Customer_0157,R01,Retail,Bengaluru
C2158,Customer_0158,R06,Retail,Kolkata
C2159,Customer_0159,R05,Wholesale,Delhi
C2160,Customer_0160,R06,Retail,Chennai
C2161,Customer_0161,R02,Corporate,Bengaluru
C2162,Customer_0162,R04,Retail,Bengaluru
C2163,Customer_0163,R05,Corporate,Kolkata
C2164,Customer_0164,R05,Wholesale,Mumbai
C2165,Customer_0165,R05,Retail,Kolkata
C2166,Customer_0166,R05,Retail,Mumbai
C2167,Customer_0167,R06,Corporate,Mumbai
C2168,Customer_0168,R05,Distributor,Hyderabad
C2169,Customer_0169,R03,Wholesale,Hyderabad
C2170,Customer_0170,R04,Wholesale,Madurai
C2171,Customer_0171,R05,Distributor,Pune
C2172,Customer_0172,R04,Wholesale,Pune
C2173,Customer_0173,R03,Retail,Chennai
C2174,Customer_0174,R03,Distributor,Pune
C2175,Customer_0175,R04,Retail,Hyderabad
C2176,Customer_0176,R01,Wholesale,Madurai
C2177,Customer_0177,R02,Retail,Madurai
C2178,Customer_0178,R01,Retail,Mumbai
C2179,Customer_0179,R01,Retail,Kolkata
C2180,Customer_0180,R06,Corporate,Chennai
C2181,Customer_0181,R01,Retail,Mumbai
C2182,Customer_0182,R05,Retail,Kolkata
C2183,Customer_0183,R06,Retail,Pune
C2184,Customer_0184,R06,Wholesale,Mumbai
C2185,Customer_0185,R03,Distributor,Coimbatore
C2186,Customer_0186,R01,Wholesale,Pune
C2187,Customer_0187,R03,Wholesale,Kolkata
C2188,Customer_0188,R04,Corporate,Chennai
C2189,Customer_0189,R02,Wholesale,Kolkata
C2190,Customer_0190,R06,Retail,Mumbai
C2191,Customer_0191,R04,Retail,Mumbai
C2192,Customer_0192,R04,Retail,Bengaluru
C2193,Customer_0193,R05,Retail,Chennai
C2194,Customer_0194,R02,Retail,Ahmedabad
C2195,Customer_0195,R04,Corporate,Pune
C2196,Customer_0196,R04,Retail,Madurai
C2197,Customer_0197,R02,Wholesale,Chennai
C2198,Customer_0198,R02,Wholesale,Madurai
C2199,Customer_0199,R04,Retail,Chennai
C2200,Customer_0200,R02,Corporate,Chennai
C2201,Customer_0201,R04,Wholesale,Kolkata
C2202,Customer_0202,R04,Retail,Chennai
C2203,Customer_0203,R05,Corporate,Bengaluru
C2204,Customer_0204,R01,Wholesale,Ahmedabad
C2205,Customer_0205,R04,Wholesale,Mumbai
C2206,Customer_0206,R03,Wholesale,Delhi
C2207,Customer_0207,R06,Wholesale,Madurai
C2208,Customer_0208,R01,Corporate,Mumbai
C2209,Customer_0209,R01,Retail,Delhi
C2210,Customer_0210,R01,Retail,Ahmedabad
C2211,Customer_0211,R05,Retail,Ahmedabad
C2212,Customer_0212,R04,Corporate,Madurai
C2213,Customer_0213,R05,Retail,Madurai
C2214,Customer_0214,R04,Corporate,Ahmedabad
C2215,Customer_0215,R05,Wholesale,Delhi
C2216,Customer_0216,R05,Corporate,Chennai
C2217,Customer_0217,R06,Distributor,Pune
C2218,Customer_0218,R03,Corporate,Coimbatore
C2219,Customer_0219,R05,Corporate,Mumbai
C2220,Customer_0220,R06,Retail,Kolkata
C2221,Customer_0221,R02,Wholesale,Mumbai
C2222,Customer_0222,R03,Retail,Kolkata
C2223,Customer_0223,R05,Retail,Delhi
C2224,Customer_0224,R01,Wholesale,Kolkata
C2225,Customer_0225,R02,Wholesale,Madurai
C2226,Customer_0226,R02,Retail,Pune
C2227,Customer_0227,R06,Wholesale,Pune
C2228,Customer_0228,R02,Corporate,Madurai
C2229,Customer_0229,R03,Wholesale,Bengaluru
C2230,Customer_0230,R05,Corporate,Delhi
C2231,Customer_0231,R05,Corporate,Bengaluru
C2232,Customer_0232,R01,Distributor,Bengaluru
C2233,Customer_0233,R06,Wholesale,Mumbai
C2234,Customer_0234,R01,Corporate,Ahmedabad
C2235,Customer_0235,R02,Distributor,Mumbai
C2236,Customer_0236,R01,Distributor,Ahmedabad
C2237,Customer_0237,R03,Retail,Coimbatore
C2238,Customer_0238,R05,Retail,Kolkata
C2239,Customer_0239,R02,Retail,Ahmedabad
C2240,Customer_0240,R01,Retail,Madurai
C2241,Customer_0241,R06,Wholesale,Mumbai
C2242,Customer_0242,R03,Corporate,Delhi
C2243,Customer_0243,R03,Corporate,Kolkata
C2244,Customer_0244,R01,Retail,Coimbatore
C2245,Customer_0245,R05,Corporate,Ahmedabad
C2246,Customer_0246,R01,Wholesale,Coimbatore
C2247,Customer_0247,R02,Corporate,Delhi
C2248,Customer_0248,R01,Distributor,Bengaluru
C2249,Customer_0249,R03,Wholesale,Pune
C2250,Customer_0250,R01,Retail,Delhi
C2251,Customer_0251,R05,Corporate,Hyderabad
C2252,Customer_0252,R06,Retail,Delhi
C2253,Customer_0253,R04,Retail,Coimbatore
C2254,Customer_0254,R01,Corporate,Madurai
C2255,Customer_0255,R05,Retail,Mumbai
C2256,Customer_0256,R05,Corporate,Madurai
C2257,Customer_0257,R06,Retail,Coimbatore
C2258,Customer_0258,R03,Corporate,Mumbai
C2259,Customer_0259,R05,Retail,Hyderabad
C2260,Customer_0260,R05,Distributor,Pune
C2261,Customer_0261,R05,Corporate,Kolkata
C2262,Customer_0262,R05,Retail,Coimbatore
C2263,Customer_0263,R02,Wholesale,Ahmedabad
C2264,Customer_0264,R02,Distributor,Coimbatore
C2265,Customer_0265,R03,Wholesale,Coimbatore
C2266,Customer_0266,R01,Retail,Mumbai
C2267,Customer_0267,R05,Wholesale,Chennai
C2268,Customer_0268,R06,Wholesale,Delhi
C2269,Customer_0269,R01,Corporate,Chennai
C2270,Customer_0270,R06,Wholesale,Hyderabad
C2271,Customer_0271,R01,Retail,Ahmedabad
C2272,Customer_0272,R03,Retail,Pune
C2273,Customer_0273,R05,Wholesale,Bengaluru
C2274,Customer_0274,R05,Retail,Hyderabad
C2275,Customer_0275,R04,Retail,Bengaluru
C2276,Customer_0276,R06,Distributor,Bengaluru
C2277,Customer_0277,R01,Wholesale,Pune
C2278,Customer_0278,R01,Wholesale,Madurai
C2279,Customer_0279,R02,Corporate,Chennai
C2280,Customer_0280,R04,Wholesale,Coimbatore
C2281,Customer_0281,R02,Corporate,Kolkata
C2282,Customer_0282,R02,Wholesale,Bengaluru
C2283,Customer_0283,R02,Retail,Ahmedabad
C2284,Customer_0284,R06,Retail,Hyderabad
C2285,Customer_0285,R06,Wholesale,Madurai
C2286,Customer_0286,R03,Corporate,Bengaluru
C2287,Customer_0287,R03,Retail,Madurai
C2288,Customer_0288,R02,Retail,Madurai
C2289,Customer_0289,R04,Retail,Bengaluru
C2290,Customer_0290,R01,Retail,Mumbai
C2291,Customer_0291,R06,Corporate,Delhi
C2292,Customer_0292,R04,Retail,Ahmedabad
C2293,Customer_0293,R05,Wholesale,Coimbatore
C2294,Customer_0294,R06,Wholesale,Coimbatore
C2295,Customer_0295,R06,Wholesale,Ahmedabad
C2296,Customer_0296,R03,Corporate,Mumbai
C2297,Customer_0297,R01,Retail,Coimbatore
C2298,Customer_0298,R01,Corporate,Madurai
C2299,Customer_0299,R05,Retail,Pune
C2300,Customer_0300,R05,Retail,Hyderabad
C2301,Customer_0301,R06,Distributor,Chennai
C2302,Customer_0302,R02,Retail,Coimbatore
C2303,Customer_0303,R03,Retail,Ahmedabad
C2304,Customer_0304,R03,Corporate,Pune
C2305,Customer_0305,R06,Retail,Bengaluru
C2306,Customer_0306,R04,Corporate,Delhi
C2307,Customer_0307,R02,Retail,Ahmedabad
C2308,Customer_0308,R06,Distributor,Madurai
C2309,Customer_0309,R02,Corporate,Delhi
C2310,Customer_0310,R02,Wholesale,Hyderabad
C2311,Customer_0311,R02,Distributor,Hyderabad
C2312,Customer_0312,R06,Retail,Mumbai
C2313,Customer_0313,R03,Distributor,Kolkata
C2314,Customer_0314,R03,Retail,Mumbai
C2315,Customer_0315,R02,Wholesale,Pune
C2316,Customer_0316,R04,Retail,Delhi
C2317,Customer_0317,R01,Wholesale,Kolkata
C2318,Customer_0318,R06,Retail,Bengaluru
C2319,Customer_0319,R01,Corporate,Madurai
C2320,Customer_0320,R04,Corporate,Delhi
C2321,Customer_0321,R06,Distributor,Mumbai
C2322,Customer_0322,R02,Retail,Chennai
C2323,Customer_0323,R03,Wholesale,Kolkata
C2324,Customer_0324,R01,Wholesale,Kolkata
C2325,Customer_0325,R05,Retail,Madurai
C2326,Customer_0326,R05,Retail,Coimbatore
C2327,Customer_0327,R04,Retail,Hyderabad
C2328,Customer_0328,R02,Corporate,Hyderabad
C2329,Customer_0329,R01,Wholesale,Chennai
C2330,Customer_0330,R02,Wholesale,Pune
C2331,Customer_0331,R01,Retail,Pune
C2332,Customer_0332,R04,Retail,Bengaluru
C2333,Customer_0333,R04,Retail,Delhi
C2334,Customer_0334,R05,Distributor,Ahmedabad
C2335,Customer_0335,R02,Retail,Coimbatore
C2336,Customer_0336,R06,Retail,Mumbai
C2337,Customer_0337,R05,Retail,Ahmedabad
C2338,Customer_0338,R02,Corporate,Ahmedabad
C2339,Customer_0339,R05,Distributor,Kolkata
C2340,Customer_0340,R06,Corporate,Chennai
C2341,Customer_0341,R03,Wholesale,Hyderabad
C2342,Customer_0342,R03,Wholesale,Bengaluru
C2343,Customer_0343,R03,Retail,Pune
C2344,Customer_0344,R03,Distributor,Chennai
C2345,Customer_0345,R01,Corporate,Kolkata
C2346,Customer_0346,R03,Wholesale,Mumbai
C2347,Customer_0347,R06,Corporate,Bengaluru
C2348,Customer_0348,R04,Corporate,Kolkata
C2349,Customer_0349,R04,Wholesale,Hyderabad
C2350,Customer_0350,R01,Distributor,Hyderabad
C2351,Customer_0351,R03,Distributor,Hyderabad
C2352,Customer_0352,R03,Wholesale,Chennai
C2353,Customer_0353,R03,Wholesale,Chennai
C2354,Customer_0354,R05,Retail,Pune
C2355,Customer_0355,R02,Wholesale,Pune
C2356,Customer_0356,R05,Retail,Mumbai
C2357,Customer_0357,R02,Wholesale,Bengaluru
C2358,Customer_0358,R03,Distributor,Madurai
C2359,Customer_0359,R03,Wholesale,Madurai
C2360,Customer_0360,R05,Wholesale,Kolkata
C2361,Customer_0361,R05,Retail,Hyderabad
C2362,Customer_0362,R02,Retail,Bengaluru
C2363,Customer_0363,R04,Corporate,Ahmedabad
C2364,Customer_0364,R02,Retail,Chennai
C2365,Customer_0365,R05,Retail,Delhi
C2366,Customer_0366,R06,Retail,Coimbatore
C2367,Customer_0367,R05,Corporate,Mumbai
C2368,Customer_0368,R06,Corporate,Hyderabad
C2369,Customer_0369,R01,Retail,Hyderabad
C2370,Customer_0370,R05,Wholesale,Hyderabad
C2371,Customer_0371,R01,Wholesale,Chennai
C2372,Customer_0372,R04,Wholesale,Chennai
C2373,Customer_0373,R02,Wholesale,Coimbatore
C2374,Customer_0374,R06,Retail,Ahmedabad
C2375,Customer_0375,R02,Wholesale,Bengaluru
C2376,Customer_0376,R01,Wholesale,Hyderabad
C2377,Customer_0377,R06,Corporate,Madurai
C2378,Customer_0378,R02,Wholesale,Pune
C2379,Customer_0379,R05,Retail,Madurai
C2380,Customer_0380,R03,Retail,Kolkata
C2381,Customer_0381,R01,Wholesale,Madurai
C2382,Customer_0382,R02,Corporate,Kolkata
C2383,Customer_0383,R01,Wholesale,Delhi
C2384,Customer_0384,R01,Wholesale,Pune
C2385,Customer_0385,R06,Corporate,Madurai
C2386,Customer_0386,R06,Wholesale,Delhi
C2387,Customer_0387,R03,Retail,Mumbai
C2388,Customer_0388,R05,Corporate,Bengaluru
C2389,Customer_0389,R01,Retail,Delhi
C2390,Customer_0390,R02,Wholesale,Bengaluru
C2391,Customer_0391,R04,Distributor,Madurai
C2392,Customer_0392,R01,Retail,Ahmedabad
C2393,Customer_0393,R01,Retail,Delhi
C2394,Customer_0394,R03,Retail,Pune
C2395,Customer_0395,R05,Distributor,Madurai
C2396,Customer_0396,R04,Retail,Hyderabad
C2397,Customer_0397,R06,Retail,Chennai
C2398,Customer_0398,R06,Retail,Delhi
C2399,Customer_0399,R02,Retail,Pune
C2400,Customer_0400,R04,Retail,Mumbai
C2401,Customer_0401,R06,Wholesale,Hyderabad
C2402,Customer_0402,R02,Wholesale,Mumbai
C2403,Customer_0403,R05,Retail,Madurai
C2404,Customer_0404,R02,Retail,Chennai
C2405,Customer_0405,R06,Retail,Delhi
C2406,Customer_0406,R03,Retail,Delhi
C2407,Customer_0407,R03,Wholesale,Ahmedabad
C2408,Customer_0408,R03,Corporate,Ahmedabad
C2409,Customer_0409,R06,Retail,Madurai
C2410,Customer_0410,R03,Wholesale,Madurai
C2411,Customer_0411,R04,Retail,Chennai
C2412,Customer_0412,R05,Corporate,Ahmedabad
C2413,Customer_0413,R02,Corporate,Pune
C2414,Customer_0414,R02,Wholesale,Pune
C2415,Customer_0415,R06,Retail,Chennai
C2416,Customer_0416,R03,Distributor,Pune
C2417,Customer_0417,R03,Retail,Kolkata
C2418,Customer_0418,R01,Retail,Bengaluru
C2419,Customer_0419,R05,Retail,Chennai
C2420,Customer_0420,R04,Retail,Chennai
C2421,Customer_0421,R02,Distributor,Coimbatore
C2422,Customer_0422,R01,Corporate,Hyderabad
C2423,Customer_0423,R01,Retail,Hyderabad
C2424,Customer_0424,R06,Wholesale,Kolkata
C2425,Customer_0425,R02,Distributor,Ahmedabad
C2426,Customer_0426,R06,Corporate,Madurai
C2427,Customer_0427,R04,Wholesale,Madurai
C2428,Customer_0428,R01,Distributor,Mumbai
C2429,Customer_0429,R01,Distributor,Kolkata
C2430,Customer_0430,R05,Corporate,Chennai
C2431,Customer_0431,R04,Retail,Kolkata
C2432,Customer_0432,R01,Retail,Kolkata
C2433,Customer_0433,R04,Corporate,Kolkata
C2434,Customer_0434,R02,Retail,Hyderabad
C2435,Customer_0435,R03,Corporate,Kolkata
C2436,Customer_0436,R01,Retail,Bengaluru
C2437,Customer_0437,R05,Retail,Madurai
C2438,Customer_0438,R02,Retail,Mumbai
C2439,Customer_0439,R04,Retail,Bengaluru
C2440,Customer_0440,R06,Distributor,Mumbai
C2441,Customer_0441,R02,Corporate,Coimbatore
C2442,Customer_0442,R01,Corporate,Mumbai
C2443,Customer_0443,R04,Wholesale,Madurai
C2444,Customer_0444,R03,Retail,Madurai
C2445,Customer_0445,R02,Wholesale,Kolkata
C2446,Customer_0446,R01,Wholesale,Delhi
C2447,Customer_0447,R05,Wholesale,Coimbatore
C2448,Customer_0448,R06,Retail,Chennai
C2449,Customer_0449,R04,Wholesale,Pune
C2450,Customer_0450,R02,Wholesale,Mumbai
C2023,Customer_0023_DUP,R02,Distributor,Hyderabad
