Return_ID,Return_Date,Sale_ID,Product_ID,Return_Amount,Return_Reason
RET700029,2026-04-05 00:00:00,S501659,P3002,19917.44,Customer Return
RET700030,2026-04-05 00:00:00,S502985,P3027,11347.48,Quality Issue
RET700031,2026-05-17 00:00:00,S502649,P3034,18252.09,Quality Issue
RET700032,2026-01-31 00:00:00,S503959,P3052,14431.92,Quality Issue
RET700033,2026-05-13 00:00:00,S503372,P3025,8850.63,Wrong Product
RET700034,2026-08-16 00:00:00,S503430,P3048,18283.92,Damaged
RET700035,2026-01-16 00:00:00,S501581,P3054,17245.73,Other
RET700036,2026-02-11 00:00:00,S504861,P3011,15667.81,Other
RET700037,2026-06-18 00:00:00,S502933,P3015,15639.91,Customer Return
RET700038,2026-07-27 00:00:00,S505087,P3059,17233.06,Damaged
RET700039,2026-07-31 00:00:00,S501587,P3005,9921.37,Damaged
RET700040,2026-09-03 00:00:00,S502113,P3022,21792.36,Wrong Product
RET700041,2026-01-30 00:00:00,S503638,P3050,4476.54,Quality Issue
RET700042,2026-01-26 00:00:00,S504562,P3002,22155.19,Damaged
RET700043,2026-06-26 00:00:00,S504984,P3035,8885.91,Quality Issue
RET700044,2026-01-31 00:00:00,S502522,P3020,3563.27,Wrong Product
RET700045,2026-02-19 00:00:00,S503752,P3024,15200.67,Customer Return
RET700046,2026-05-23 00:00:00,S502703,P3013,9711.67,Customer Return
RET700047,2026-02-21 00:00:00,S500019,P3007,20479.74,Quality Issue
RET700048,2026-08-21 00:00:00,S502570,P3055,11054.24,Quality Issue
RET700049,2026-06-15 00:00:00,S500784,P3032,16879.78,Damaged
RET700050,2026-02-07 00:00:00,S501707,P3003,8052.32,Wrong Product
RET700051,2026-08-23 00:00:00,S500415,P3022,5631.58,Customer Return
RET700052,2026-07-07 00:00:00,S500364,P3034,10007.2,Damaged
RET700053,2026-01-20 00:00:00,S502576,P3014,15366.79,Other
RET700054,2026-04-09 00:00:00,S501104,P3042,16595.2,Damaged
RET700055,2026-08-03 00:00:00,S504892,P3001,14666.06,Quality Issue
RET700056,2026-02-13 00:00:00,S501172,P3039,24707.37,Other
RET700057,2026-04-21 00:00:00,S501699,P3048,17431.71,Damaged
RET700058,2026-08-19 00:00:00,S500443,P3029,23322.23,Wrong Product
RET700059,2026-03-30 00:00:00,S503944,P3023,3389.36,Customer Return
RET700060,2026-03-04 00:00:00,S504746,P3022,2003.64,Other
RET700061,2026-04-28 00:00:00,S504605,P3029,8119.37,Wrong Product
RET700062,2026-06-27 00:00:00,S504562,P3002,3846.43,Damaged
RET700063,2026-05-30 00:00:00,S502413,P3010,13383.78,Quality Issue
RET700064,2026-08-27 00:00:00,S502590,P3030,13215.04,Quality Issue
RET700065,2026-03-13 00:00:00,S501840,P3006,14588.66,Wrong Product
RET700066,2026-02-23 00:00:00,S501504,P3053,18758.08,Quality Issue
RET700067,2026-05-17 00:00:00,S500723,P3056,24297.58,Customer Return
RET700068,2026-05-23 00:00:00,S500842,P3040,22017.34,Wrong Product
RET700069,2026-02-17 00:00:00,S502348,P3040,3400,Wrong Product
RET700070,2026-05-28 00:00:00,S502222,P3053,8793.59,Quality Issue
RET700071,2026-06-12 00:00:00,S500646,P3010,6767.66,Wrong Product
RET700072,2026-04-11 00:00:00,S500024,P3043,4832.03,Damaged
RET700073,2026-07-14 00:00:00,S503273,P3043,13845.76,Other
RET700074,2026-03-01 00:00:00,S504827,P3018,14054.98,Other
RET700075,2026-04-08 00:00:00,S500007,P3030,6067.5,Quality Issue
RET700076,2026-06-11 00:00:00,S503702,P3007,17941.48,Customer Return
RET700077,2026-04-10 00:00:00,S503233,P3055,18456.4,Customer Return
RET700078,2026-04-09 00:00:00,S502926,P3028,1014.01,Quality Issue
RET700079,2026-03-14 00:00:00,S501272,P3031,10196.06,Quality Issue
RET700080,2026-08-10 00:00:00,S504262,P3053,22308.45,Wrong Product
RET700081,2026-04-29 00:00:00,S504524,P3028,13247.81,Customer Return
RET700082,2026-07-01 00:00:00,S502193,P3022,9016.88,Other
RET700083,2026-05-08 00:00:00,S505029,P3021,6715.07,Quality Issue
RET700084,2026-08-06 00:00:00,S502557,P3030,6462.19,Other
RET700085,2026-05-20 00:00:00,S502955,P3031,2944.32,Other
RET700086,2026-03-29 00:00:00,S501600,P3007,20522.05,Customer Return
RET700087,2026-04-15 00:00:00,S501667,P3033,2623.11,Other
RET700088,2026-01-19 00:00:00,S504920,P3005,7661.22,Wrong Product
RET700089,2026-08-24 00:00:00,S501062,P3060,1619.06,Wrong Product
RET700090,2026-03-21 00:00:00,S504662,P3009,19643.97,Customer Return
RET700091,2026-01-26 00:00:00,S503802,P3005,1462.45,Wrong Product
RET700092,2026-05-31 00:00:00,S501164,P3045,8053.38,Quality Issue
RET700093,2026-05-01 00:00:00,S503880,P3002,14545.79,Customer Return
RET700094,2026-02-02 00:00:00,S501282,P3023,10534.25,Other
RET700095,2026-04-16 00:00:00,S502665,P3038,7415.64,Quality Issue
RET700096,2026-07-04 00:00:00,S502896,P3038,7242.13,Customer Return
RET700097,2026-01-30 00:00:00,S501209,P3057,20045.86,Other
RET700098,2026-05-31 00:00:00,S500303,P3040,24362.46,Other
RET700099,2026-07-21 00:00:00,S500756,P3001,9027.01,Other
RET700100,2026-05-06 00:00:00,S504260,P3041,1459.07,Other
RET700101,2026-02-05 00:00:00,S501227,P3059,1395.86,Other
RET700102,2026-05-05 00:00:00,S501234,P3042,19100.73,Customer Return
RET700103,2026-08-11 00:00:00,S503518,P3020,14033.06,Wrong Product
RET700104,2026-08-23 00:00:00,S500898,P3023,19698.02,Other
RET700105,2026-05-04 00:00:00,S504879,P3052,17588.68,Quality Issue
RET700106,2026-08-02 00:00:00,S503311,P3052,22733.91,Customer Return
RET700107,2026-06-20 00:00:00,S504823,P3008,22202.7,Damaged
RET700108,2026-08-23 00:00:00,S503363,P3044,19814.02,Wrong Product
RET700109,2026-09-03 00:00:00,S502420,P3044,12142.13,Quality Issue
RET700110,2026-08-18 00:00:00,S502910,P3019,8049.1,Other
RET700111,2026-08-27 00:00:00,S501455,P3044,12922.16,Customer Return
RET700112,2026-07-13 00:00:00,S502328,P3028,12800.75,Customer Return
RET700113,2026-06-30 00:00:00,S502364,P3019,15451.75,Other
RET700114,2026-08-03 00:00:00,S502013,P3046,5059.39,Quality Issue
RET700115,2026-04-28 00:00:00,S501101,P3027,16562.69,Customer Return
RET700116,2026-08-15 00:00:00,S500816,P3030,11686.72,Wrong Product
RET700117,2026-05-03 00:00:00,S504247,P3005,15695.02,Quality Issue
RET700118,2026-07-07 00:00:00,S505105,P3055,6370.32,Other
RET700119,2026-02-06 00:00:00,S501321,P3015,11142.67,Quality Issue
RET700120,2026-03-02 00:00:00,S504765,P3050,5649.93,Quality Issue
RET700121,2026-04-06 00:00:00,S504503,P3001,21944.98,Damaged
RET700122,2026-04-30 00:00:00,S502335,P3008,12455.05,Other
RET700123,2026-08-23 00:00:00,S504588,P3003,6012.04,Wrong Product
RET700124,2026-06-30 00:00:00,S501033,P3016,1509.61,Other
RET700125,2026-01-12 00:00:00,S501156,P3016,17055.6,Damaged
RET700126,2026-05-02 00:00:00,S501101,P3027,5758.8,Other
RET700127,2026-02-04 00:00:00,S502786,P3013,24744.76,Other
RET700128,2026-08-21 00:00:00,S500997,P3001,13575.66,Wrong Product
RET700129,2026-03-08 00:00:00,S501436,P3051,7579.94,Damaged
RET700130,2026-08-14 00:00:00,S502546,P3016,16613.1,Other
RET700131,2026-02-07 00:00:00,S503701,P3055,7242.89,Other
RET700132,2026-01-24 00:00:00,S504985,P3037,20596.72,Customer Return
RET700133,2026-08-18 00:00:00,S500354,P3001,8051.78,Other
RET700134,2026-03-22 00:00:00,S502319,P3042,24712.07,Wrong Product
RET700135,2026-06-17 00:00:00,S504528,P3020,15326.05,Customer Return
RET700136,2026-07-12 00:00:00,S500739,P3042,21188.07,Damaged
RET700137,2026-07-04 00:00:00,S502520,P3051,2283.98,Quality Issue
RET700138,2026-03-13 00:00:00,S504604,P3051,9033.34,Wrong Product
RET700139,2026-09-03 00:00:00,S500055,P3051,18568.43,Damaged
RET700140,2026-03-20 00:00:00,S502085,P3022,16548.95,Customer Return
RET700141,2026-04-24 00:00:00,S500900,P3033,5258.96,Quality Issue
RET700142,2026-02-14 00:00:00,S502103,P3029,9226.97,Damaged
RET700143,2026-08-05 00:00:00,S500524,P3033,6954.36,Wrong Product
RET700144,2026-07-19 00:00:00,S500463,P3031,15527.57,Customer Return
RET700145,2026-05-05 00:00:00,S504793,P3015,8941.92,Wrong Product
RET700146,2026-09-01 00:00:00,S501502,P3027,8071.83,Wrong Product
RET700147,2026-04-06 00:00:00,S503877,P3041,5580.76,Customer Return
RET700148,2026-08-30 00:00:00,S500716,P3034,10521.16,Other
RET700149,2026-01-13 00:00:00,S503298,P3010,5289.81,Wrong Product
RET700150,2026-04-20 00:00:00,S502780,P3038,24082.95,Customer Return
RET700151,2026-07-26 00:00:00,S503612,P3024,4285.29,Wrong Product
RET700152,2026-01-06 00:00:00,S500989,P3017,22875.97,Other
RET700153,2026-04-07 00:00:00,S501829,P3010,10997.59,Customer Return
RET700154,2026-03-12 00:00:00,S500212,P3007,9757.72,Damaged
RET700155,2026-08-13 00:00:00,S503147,P3046,6167.34,Damaged
RET700156,2026-02-16 00:00:00,S500754,P3047,16076.03,Damaged
RET700157,2026-04-03 00:00:00,S503751,P3049,17295.44,Quality Issue
RET700158,2026-08-18 00:00:00,S503690,P3048,11955.49,Wrong Product
RET700159,2026-04-11 00:00:00,S503223,P3040,1864.82,Wrong Product
RET700160,2026-02-13 00:00:00,S500436,P3028,23003.5,Customer Return
RET700161,2026-02-01 00:00:00,S501902,P3008,24518.06,Quality Issue
RET700162,2026-01-03 00:00:00,S504180,P3023,11060.56,Wrong Product
RET700163,2026-07-01 00:00:00,S501236,P3026,15534.69,Customer Return
RET700164,2026-03-25 00:00:00,S500779,P3037,11532.32,Other
RET700165,2026-07-25 00:00:00,S504930,P3012,8386.05,Wrong Product
RET700166,2026-08-08 00:00:00,S503853,P3047,2394.31,Wrong Product
RET700167,2026-06-15 00:00:00,S501961,P3033,11673.66,Other
RET700168,2026-01-04 00:00:00,S504273,P3053,20550.42,Other
RET700169,2026-07-26 00:00:00,S501807,P3051,917.27,Wrong Product
RET700170,2026-05-25 00:00:00,S503231,P3003,14761.64,Other
RET700171,2026-06-14 00:00:00,S501725,P3005,22078.92,Customer Return
RET700172,2026-03-29 00:00:00,S500186,P3035,5829.96,Wrong Product
RET700173,2026-08-18 00:00:00,S501495,P3031,4989.77,Wrong Product
RET700174,2026-04-16 00:00:00,S501980,P3037,19420.78,Damaged
RET700175,2026-04-15 00:00:00,S504054,P3021,6749.62,Wrong Product
RET700176,2026-02-05 00:00:00,S500246,P3016,5203.61,Damaged
RET700177,2026-02-27 00:00:00,S504048,P3004,9760.74,Other
RET700178,2026-06-18 00:00:00,S500384,P3012,10116.3,Other
RET700179,2026-01-08 00:00:00,S500285,P3053,21915.48,Customer Return
RET700180,2026-07-14 00:00:00,S505084,P3057,15651.87,Damaged
RET700181,2026-06-07 00:00:00,S503995,P3060,10446.06,Wrong Product
RET700182,2026-03-27 00:00:00,S500300,P3032,13592.51,Damaged
RET700183,2026-06-29 00:00:00,S500901,P3025,23872.15,Other
RET700184,2026-04-07 00:00:00,S501460,P3012,3273.76,Other
RET700185,2026-06-02 00:00:00,S502922,P3003,5589.03,Customer Return
RET700186,2026-06-29 00:00:00,S502534,P3014,24081.95,Other
RET700187,2026-02-28 00:00:00,S500806,P3046,23954.46,Damaged
RET700188,2026-01-30 00:00:00,S502229,P3054,4840.55,Wrong Product
RET700189,2026-04-11 00:00:00,S501922,P3013,4055.17,Wrong Product
RET700190,2026-03-08 00:00:00,S504973,P3015,10816.59,Damaged
RET700191,2026-05-12 00:00:00,S504790,P3031,1718.1,Customer Return
RET700192,2026-04-03 00:00:00,S502388,P3018,16545.14,Wrong Product
RET700193,2026-07-04 00:00:00,S502539,P3043,2398.65,Damaged
RET700194,2026-03-04 00:00:00,S501997,P3009,1921.73,Damaged
RET700195,2026-02-01 00:00:00,S504826,P3052,12387.08,Other
RET700196,2026-03-28 00:00:00,S502504,P3018,23965.77,Other
RET700197,2026-09-05 00:00:00,S500105,P3006,10956.5,Customer Return
RET700198,2026-07-30 00:00:00,S500439,P3049,9233.79,Customer Return
RET700199,2026-07-26 00:00:00,S501522,P3046,24949.94,Customer Return
RET700200,2026-02-20 00:00:00,S501352,P3025,13533.24,Damaged
RET700201,2026-03-04 00:00:00,S502699,P3014,9693.41,Damaged
RET700202,2026-03-21 00:00:00,S503613,P3058,9953.59,Other
RET700203,2026-03-28 00:00:00,S500509,P3017,5276.51,Wrong Product
RET700204,2026-08-20 00:00:00,S504347,P3021,13049.46,Customer Return
RET700205,2026-04-20 00:00:00,S504975,P3013,11251.95,Quality Issue
RET700206,2026-04-11 00:00:00,S501275,P3036,7134.48,Customer Return
RET700207,2026-05-09 00:00:00,S505114,P3059,4433.23,Other
RET700208,2026-01-19 00:00:00,S502823,P3053,8125.35,Damaged
RET700209,2026-04-11 00:00:00,S500064,P3012,12962.74,Other
RET700210,2026-06-12 00:00:00,S503922,P3031,1929.17,Other
RET700211,2026-07-10 00:00:00,S504416,P3041,4266.73,Other
RET700212,2026-04-04 00:00:00,S500860,P3055,23717.6,Quality Issue
RET700213,2026-03-22 00:00:00,S502828,P3035,13799.96,Quality Issue
RET700214,2026-04-13 00:00:00,S501548,P3031,2054.51,Customer Return
RET700215,2026-04-23 00:00:00,S502077,P3001,17480.65,Damaged
RET700216,2026-06-03 00:00:00,S500437,P3012,2014.17,Other
RET700217,2026-01-13 00:00:00,S503658,P3040,18602.42,Wrong Product
RET700218,2026-04-28 00:00:00,S500763,P3004,18874.09,Customer Return
RET700219,2026-03-27 00:00:00,S500736,P3032,16451.43,Customer Return
RET700220,2026-08-26 00:00:00,S503665,P3050,18439.01,Other
RET700221,2026-01-23 00:00:00,S504095,P3040,2655.16,Customer Return
RET700222,2026-08-24 00:00:00,S504729,P3044,18306.12,Other
RET700223,2026-04-17 00:00:00,S501579,P3027,3848.86,Customer Return
RET700224,2026-08-13 00:00:00,S503730,P3006,8817.89,Damaged
RET700225,2026-08-07 00:00:00,S501077,P3011,23597.26,Customer Return
RET700226,2026-06-12 00:00:00,S502281,P3030,12820.45,Customer Return
RET700227,2026-01-12 00:00:00,S501831,P3008,24201.95,Wrong Product
RET700228,2026-05-17 00:00:00,S501899,P3039,2678.6,Damaged
RET700229,2026-08-14 00:00:00,S504296,P3040,12200.14,Damaged
RET700230,2026-03-19 00:00:00,S500674,P3060,2028.86,Damaged
RET700231,2026-08-17 00:00:00,S500549,P3054,15940.15,Customer Return
RET700232,2026-03-08 00:00:00,S500937,P3054,2428.32,Quality Issue
RET700233,2026-04-18 00:00:00,S504145,P3018,4796.51,Customer Return
RET700234,2026-02-13 00:00:00,S500896,P3032,6841.34,Other
RET700235,2026-07-08 00:00:00,S502570,P3055,18844.22,Wrong Product
RET700236,2026-05-29 00:00:00,S502088,P3046,4517.07,Damaged
RET700237,2026-01-07 00:00:00,S500914,P3036,21242.49,Other
RET700238,2026-05-08 00:00:00,S501177,P3018,3731.65,Other
RET700239,2026-04-07 00:00:00,S504772,P3047,1363.49,Quality Issue
RET700240,2026-08-15 00:00:00,S504866,P3002,10178.61,Damaged
RET700241,2026-01-11 00:00:00,S504307,P3057,24496.32,Customer Return
RET700242,2026-06-22 00:00:00,S503274,P3049,3203.38,Damaged
RET700243,2026-06-09 00:00:00,S504243,P3021,2992.1,Wrong Product
RET700244,2026-08-02 00:00:00,S501523,P3035,18903.58,Damaged
RET700245,2026-09-04 00:00:00,S502803,P3042,8147.96,Other
RET700246,2026-04-16 00:00:00,S503123,P3040,18073.4,Other
RET700247,2026-03-24 00:00:00,S504591,P3031,5400.26,Customer Return
RET700248,2026-02-05 00:00:00,S502457,P3033,11771.76,Customer Return
RET700249,2026-04-28 00:00:00,S501650,P3016,6999.6,Customer Return
RET700250,2026-06-14 00:00:00,S502321,P3060,11562.44,Wrong Product
RET700251,2026-07-22 00:00:00,S502506,P3002,19342.88,Damaged
RET700252,2026-02-10 00:00:00,S501144,P3049,19169.24,Quality Issue
RET700253,2026-07-24 00:00:00,S503773,P3048,13136.42,Damaged
RET700254,2026-04-02 00:00:00,S500046,P3003,23245.11,Customer Return
RET700255,2026-02-18 00:00:00,S503315,P3009,6962.71,Wrong Product
RET700256,2026-05-23 00:00:00,S504407,P3006,6387.63,Damaged
RET700257,2026-05-21 00:00:00,S502610,P3020,15538.26,Other
RET700258,2026-02-22 00:00:00,S504427,P3060,15721.78,Damaged
RET700259,2026-04-17 00:00:00,S504107,P3042,1640.23,Other
RET700260,2026-02-02 00:00:00,S505004,P3003,15390.55,Damaged
RET700261,2026-07-19 00:00:00,S503120,P3027,9673.69,Damaged
RET700262,2026-04-29 00:00:00,S501401,P3020,18812.34,Damaged
RET700263,2026-02-01 00:00:00,S501592,P3039,20298.59,Customer Return
RET700264,2026-08-17 00:00:00,S500008,P3014,14027.77,Other
RET700265,2026-04-28 00:00:00,S500984,P3026,541.77,Wrong Product
RET700266,2026-06-25 00:00:00,S503598,P3018,16090.96,Quality Issue
RET700267,2026-07-15 00:00:00,S501751,P3023,18847.59,Other
RET700268,2026-07-04 00:00:00,S503512,P3057,6600.09,Customer Return
RET700269,2026-03-03 00:00:00,S503829,P3011,11883.83,Other
RET700270,2026-08-31 00:00:00,S500566,P3003,24160.3,Wrong Product
RET700271,2026-03-23 00:00:00,S502321,P3060,7803.83,Other
RET700272,2026-08-03 00:00:00,S500901,P3025,5967.25,Customer Return
RET700273,2026-08-09 00:00:00,S502179,P3044,5665.94,Customer Return
RET700274,2026-05-10 00:00:00,S503593,P3036,14190.62,Quality Issue
RET700275,2026-03-18 00:00:00,S502772,P3036,23769.78,Wrong Product
RET700276,2026-01-16 00:00:00,S500114,P3018,15412.91,Quality Issue
RET700277,2026-09-03 00:00:00,S500532,P3040,7931.42,Damaged
RET700278,2026-05-03 00:00:00,S501523,P3035,16144.96,Customer Return
RET700279,2026-01-08 00:00:00,S503411,P3032,15808.64,Quality Issue
RET700280,2026-05-27 00:00:00,S501045,P3020,15124.67,Customer Return
RET700281,2026-06-09 00:00:00,S500033,P3011,4405.94,Customer Return
RET700282,2026-03-08 00:00:00,S500133,P3054,16046.89,Damaged
RET700283,2026-04-25 00:00:00,S502968,P3035,11039.03,Customer Return
RET700284,2026-04-23 00:00:00,S501727,P3002,955.51,Quality Issue
RET700285,2026-02-01 00:00:00,S505071,P3058,13724.23,Wrong Product
RET700286,2026-04-15 00:00:00,S500026,P9999,24737.04,Other
RET700287,2026-08-01 00:00:00,S502649,P3034,9068.62,Quality Issue
RET700288,2026-01-25 00:00:00,S504641,P3054,24156.2,Damaged
RET700289,2026-02-22 00:00:00,S501262,P3044,2857.04,Other
RET700290,2026-09-04 00:00:00,S502066,P3029,18445.03,Customer Return
RET700291,2026-03-22 00:00:00,S503346,P3027,3301.08,Quality Issue
RET700292,2026-01-25 00:00:00,S500934,P3001,7202.5,Other
RET700293,2026-02-02 00:00:00,S501051,P3044,14485.6,Quality Issue
RET700294,2026-01-31 00:00:00,S500817,P3035,15023.1,Customer Return
RET700295,2026-02-05 00:00:00,S504204,P3034,19492.68,Quality Issue
RET700296,2026-03-28 00:00:00,S505044,P3060,15575.13,Damaged
RET700297,2026-05-03 00:00:00,S500738,P3054,15043.56,Other
RET700298,2026-08-27 00:00:00,S502915,P3008,22852.65,Other
RET700299,2026-08-24 00:00:00,S503603,P3031,11577.94,Other
RET700300,2026-08-05 00:00:00,S500793,P3054,6019.01,Quality Issue
RET700301,2026-06-26 00:00:00,S503176,P3051,4463.82,Customer Return
RET700302,2026-02-13 00:00:00,S501356,P3033,10299.87,Quality Issue
RET700303,2026-02-17 00:00:00,S501386,P3017,17962.44,Quality Issue
RET700304,2026-06-07 00:00:00,S503993,P3050,1542.32,Other
RET700305,2026-01-13 00:00:00,S504385,P3003,3661.81,Customer Return
RET700306,2026-06-20 00:00:00,S501061,P3013,3099.78,Wrong Product
RET700307,2026-08-27 00:00:00,S501372,P3049,14838.63,Customer Return
RET700308,2026-08-09 00:00:00,S504139,P3031,6450.18,Quality Issue
RET700309,2026-05-24 00:00:00,S501150,P3053,4573.36,Damaged
RET700310,2026-08-18 00:00:00,S503203,P3049,15022.88,Customer Return
RET700311,2026-04-01 00:00:00,S503354,P3028,19152.09,Other
RET700312,2026-06-03 00:00:00,S502943,P3044,8637.8,Damaged
RET700313,2026-07-22 00:00:00,S505173,P3029,14666.01,Wrong Product
RET700314,2026-06-24 00:00:00,S504629,P3050,2904.05,Wrong Product
RET700315,2026-06-14 00:00:00,S503449,P3054,23412.18,Damaged
RET700316,2026-05-11 00:00:00,S503048,P3029,8753.96,Wrong Product
RET700317,2026-06-03 00:00:00,S502711,P3018,24938.89,Damaged
RET700318,2026-08-14 00:00:00,S501501,P3032,24475.4,Quality Issue
RET700319,2026-08-13 00:00:00,S505050,P3042,19581.17,Damaged
RET700320,2026-05-23 00:00:00,S500069,P3052,991.64,Quality Issue
RET700321,2026-03-07 00:00:00,S501867,P3028,13815.14,Other
RET700322,2026-01-28 00:00:00,S501949,P3021,2627.49,Other
RET700323,2026-05-05 00:00:00,S503902,P3023,22430.88,Wrong Product
RET700324,2026-07-31 00:00:00,S503509,P3044,19846.09,Damaged
RET700325,2026-06-15 00:00:00,S500301,P3036,24322.34,Quality Issue
RET700326,2026-06-21 00:00:00,S504123,P3019,15405.38,Other
RET700327,2026-06-30 00:00:00,S502978,P3002,13293.23,Other
RET700328,2026-03-21 00:00:00,S502601,P3013,13214.86,Other
RET700329,2026-08-26 00:00:00,S502154,P3058,9967.99,Wrong Product
RET700330,2026-05-12 00:00:00,S504682,P3006,11982.91,Other
RET700331,2026-03-13 00:00:00,S504906,P3023,16067.61,Customer Return
RET700332,2026-02-13 00:00:00,S504730,P3034,23357.22,Wrong Product
RET700333,2026-04-29 00:00:00,S504019,P3050,15099.17,Damaged
RET700334,2026-02-15 00:00:00,S503083,P3006,21499.34,Customer Return
RET700335,2026-03-25 00:00:00,S504755,P3026,21638.11,Wrong Product
RET700336,2026-01-26 00:00:00,S501240,P3028,13211.4,Wrong Product
RET700337,2026-04-06 00:00:00,S502934,P3031,9013.01,Quality Issue
RET700338,2026-01-13 00:00:00,S502369,P3043,16169.56,Customer Return
RET700339,2026-05-05 00:00:00,S500460,P3036,11423.99,Customer Return
RET700340,2026-03-10 00:00:00,S504029,P3049,2495.3,Customer Return
RET700341,2026-06-21 00:00:00,S502627,P3013,9756.32,Other
RET700342,2026-08-22 00:00:00,S503764,P3027,24854.77,Other
RET700343,2026-06-30 00:00:00,S502802,P3042,1688.54,Damaged
RET700344,2026-02-20 00:00:00,S504256,P3059,17568.34,Damaged
RET700345,2026-01-13 00:00:00,S500464,P3031,21109.12,Damaged
RET700346,2026-06-18 00:00:00,S500998,P3057,16393.78,Other
RET700347,2026-05-19 00:00:00,S505032,P3002,14458.83,Quality Issue
RET700348,2026-06-14 00:00:00,S503007,P3047,17835.08,Damaged
RET700349,2026-03-01 00:00:00,S501679,P3003,11018.9,Wrong Product
RET700350,2026-02-01 00:00:00,S500865,P3009,2738.36,Other
RET700351,2026-06-22 00:00:00,S501191,P3019,24078.11,Quality Issue
RET700352,2026-08-22 00:00:00,S502698,P3008,11091.37,Wrong Product
RET700353,2026-01-18 00:00:00,S502375,P3047,16802.04,Wrong Product
RET700354,2026-04-03 00:00:00,S500865,P3009,13517.11,Other
RET700355,2026-07-26 00:00:00,S502577,P3019,1839.49,Customer Return
RET700356,2026-05-28 00:00:00,S503916,P3049,23842.29,Quality Issue
RET700357,2026-02-13 00:00:00,S502927,P3046,19917.16,Other
RET700358,2026-06-13 00:00:00,S504430,P3044,4152.9,Customer Return
RET700359,2026-07-16 00:00:00,S502398,P3033,24550.4,Other
RET700360,2026-08-20 00:00:00,S502222,P3053,18554.08,Other
RET700361,2026-02-06 00:00:00,S501783,P3053,12071.88,Wrong Product
RET700362,2026-06-10 00:00:00,S503999,P3059,15478.57,Other
RET700363,2026-07-29 00:00:00,S502804,P3002,3115.05,Customer Return
RET700364,2026-05-07 00:00:00,S_DUP_001,P3037,14230.08,Wrong Product
RET700365,2026-01-19 00:00:00,S504168,P3029,2304.7,Customer Return
RET700366,2026-06-28 00:00:00,S504548,P3016,13848.95,Customer Return
RET700367,2026-02-01 00:00:00,S502959,P3026,14041.04,Wrong Product
RET700368,2026-04-16 00:00:00,S501779,P3009,21923.75,Customer Return
RET700369,2026-01-22 00:00:00,S500826,P3028,18263.91,Damaged
RET700370,2026-08-21 00:00:00,S503662,P3003,6614.03,Other
RET700371,2026-05-02 00:00:00,S503370,P3012,22266.44,Wrong Product
RET700372,2026-05-09 00:00:00,S503096,P3013,14544.45,Wrong Product
RET700373,2026-02-23 00:00:00,S502158,P3042,15356.3,Damaged
RET700374,2026-08-05 00:00:00,S500052,P3014,4640.04,Damaged
RET700375,2026-05-28 00:00:00,S503362,P3054,21515.45,Damaged
RET700376,2026-02-27 00:00:00,S503516,P3048,23308.65,Damaged
RET700377,2026-06-12 00:00:00,S504563,P3060,19487.27,Quality Issue
RET700378,2026-08-25 00:00:00,S503331,P3047,23548.44,Wrong Product
RET700379,2026-03-11 00:00:00,S501675,P3048,7906.35,Customer Return
RET700380,2026-07-17 00:00:00,S502866,P3056,21597.42,Wrong Product
RET700381,2026-07-08 00:00:00,S501362,P3024,12477.88,Wrong Product
